x,y_ref_real,y_ref_imag,y_ref_abs
14215,100.13,-34.655,105.96
14216,100.08,-34.633,105.91
14217,100.04,-34.61,105.86
14218,99.993,-34.587,105.81
14219,99.95,-34.564,105.76
14220,99.908,-34.541,105.71
14221,99.867,-34.517,105.66
14222,99.827,-34.494,105.62
14223,99.789,-34.471,105.57
14224,99.751,-34.447,105.53
14225,99.715,-34.423,105.49
14226,99.68,-34.4,105.45
14227,99.646,-34.376,105.41
14228,99.613,-34.353,105.37
14229,99.581,-34.329,105.33
14230,99.55,-34.306,105.3
14231,99.52,-34.283,105.26
14232,99.491,-34.26,105.22
14233,99.463,-34.237,105.19
14234,99.436,-34.214,105.16
14235,99.41,-34.191,105.12
14236,99.384,-34.168,105.09
14237,99.359,-34.146,105.06
14238,99.335,-34.123,105.03
14239,99.312,-34.101,105
14240,99.29,-34.079,104.98
14241,99.268,-34.057,104.95
14242,99.247,-34.035,104.92
14243,99.227,-34.014,104.9
14244,99.208,-33.993,104.87
14245,99.189,-33.971,104.85
14246,99.171,-33.951,104.82
14247,99.153,-33.93,104.8
14248,99.136,-33.909,104.78
14249,99.12,-33.889,104.75
14250,99.104,-33.869,104.73
14251,99.089,-33.849,104.71
14252,99.074,-33.83,104.69
14253,99.06,-33.811,104.67
14254,99.047,-33.791,104.65
14255,99.034,-33.773,104.63
14256,99.021,-33.754,104.62
14257,99.009,-33.736,104.6
14258,98.997,-33.717,104.58
14259,98.986,-33.699,104.57
14260,98.975,-33.682,104.55
14261,98.965,-33.664,104.53
14262,98.955,-33.647,104.52
14263,98.946,-33.63,104.5
14264,98.937,-33.613,104.49
14265,98.928,-33.597,104.48
14266,98.92,-33.58,104.46
14267,98.912,-33.564,104.45
14268,98.904,-33.549,104.44
14269,98.897,-33.533,104.43
14270,98.89,-33.518,104.42
14271,98.883,-33.503,104.4
14272,98.877,-33.488,104.39
14273,98.871,-33.473,104.38
14274,98.866,-33.459,104.37
14275,98.86,-33.444,104.36
14275,98.86,-33.444,104.36
14276,98.855,-33.431,104.35
14277,98.851,-33.417,104.35
14278,98.846,-33.403,104.34
14279,98.842,-33.39,104.33
14280,98.838,-33.377,104.32
14281,98.834,-33.364,104.31
14282,98.831,-33.352,104.31
14283,98.828,-33.339,104.3
14284,98.825,-33.327,104.29
14285,98.822,-33.315,104.29
14286,98.819,-33.303,104.28
14287,98.817,-33.292,104.27
14288,98.815,-33.281,104.27
14289,98.813,-33.269,104.26
14290,98.811,-33.259,104.26
14291,98.81,-33.248,104.25
14292,98.809,-33.237,104.25
14293,98.808,-33.227,104.24
14294,98.807,-33.217,104.24
14295,98.806,-33.207,104.24
14296,98.805,-33.198,104.23
14297,98.805,-33.188,104.23
14298,98.805,-33.179,104.23
14299,98.804,-33.17,104.22
14300,98.804,-33.161,104.22
14301,98.805,-33.152,104.22
14302,98.805,-33.144,104.22
14303,98.805,-33.136,104.21
14304,98.806,-33.127,104.21
14305,98.807,-33.12,104.21
14306,98.808,-33.112,104.21
14307,98.809,-33.104,104.21
14308,98.81,-33.097,104.21
14309,98.811,-33.09,104.2
14310,98.812,-33.083,104.2
14311,98.814,-33.076,104.2
14312,98.815,-33.069,104.2
14313,98.817,-33.063,104.2
14314,98.819,-33.057,104.2
14315,98.82,-33.05,104.2
14316,98.822,-33.044,104.2
