AptDet,DETReg,Steps
12.2547436822306,8.152354073359,157
11.8154900738356,7.7660374808621,158
11.8388153896501,7.9699090519615,159
11.9351588360071,8.0656686745479,160
12.5098143205466,8.0642911571911,161
11.6867468000137,7.9142415326814,162
11.9155290612029,7.8312618072343,163
12.0107793479012,7.5874440591423,164
12.131579291198,7.8621352727333,165
11.7263583376075,7.7775098502007,166
12.3466112629532,8.0413796974827,167
12.3192094545128,7.5845802593005,168
11.56124590634,7.6839220039623,169
12.0533217008044,7.8431270416187,170
12.1889332380111,7.9700690933049,171
12.4777892059868,8.0304985962302,172
11.4503968726786,8.1525160013539,173
11.9167779505891,7.6711839949297,174
12.1266989123523,7.8572127873809,175
12.6177717669094,8.3124386362832,176
12.3639591095426,8.2629719873422,177
11.8192793079602,7.8525943725488,178
