# mass pc_limit obs_limit -2_sigma -1_sigma median +1_sigma +2_sigma
2.7 3.897460478255243620e-14 3.897460478255243620e-14 1.747456722856641884e-14 2.523811129172697979e-14 3.676175862836058282e-14 4.777780642269726046e-14 5.421506480124609116e-14
2.8 3.539624959126170503e-14 3.539624959126170503e-14 1.943146695173836381e-14 2.748644122507320390e-14 3.949065793179701629e-14 5.216909761156394205e-14 6.269450130155168584e-14
2.9 3.265215326501288810e-14 3.265215326501288810e-14 1.919439930025843851e-14 2.843818808853870093e-14 4.126182894069716488e-14 5.437019236645742883e-14 6.454837915369086250e-14
3.0 2.969298460161695967e-14 2.969298460161695967e-14 2.012037769891292935e-14 2.901595967659569355e-14 4.102496684468380196e-14 5.515066905130964937e-14 6.283808290487275117e-14
3.2 2.578777292278211679e-14 2.427483372014820269e-14 1.784233574598425654e-14 2.578777292278211679e-14 3.797907149043005008e-14 4.913388762287569953e-14 5.991600113053938279e-14
3.4 2.381946079620610499e-14 2.110172501805255323e-14 1.660330199329365231e-14 2.381946079620610499e-14 3.414959599627679279e-14 4.635658182110641613e-14 5.240886665182356379e-14
3.8 2.393483656097321973e-14 2.031659631974046112e-14 1.688113784155537497e-14 2.393483656097321973e-14 3.490957037637121905e-14 4.486799912610877115e-14 5.496336863337431882e-14
4.0 2.478440164032457118e-14 2.287924294977039894e-14 1.749888588760227759e-14 2.478440164032457118e-14 3.700606577758552692e-14 4.747871676761300069e-14 5.829875112343582287e-14
4.5 4.149887420395247774e-14 4.149887420395247774e-14 1.919648415439785846e-14 2.717760412961556416e-14 4.001872405141400206e-14 5.162694749513305060e-14 6.319434138711953064e-14
5.0 3.771418572773934550e-14 3.771418572773934550e-14 1.260894164036504128e-14 1.830503785212399392e-14 2.621649597529014132e-14 3.342807104166788810e-14 4.092875595275402112e-14
5.5 3.338802302418242968e-14 3.338802302418242968e-14 1.078141362547957175e-14 1.581916767522846187e-14 2.215472738313581032e-14 2.886696013253661456e-14 3.439218820532860669e-14
6.0 3.240282652726137809e-14 3.240282652726137809e-14 1.176313144011293613e-14 1.652294352737312828e-14 2.397352487811494805e-14 3.148316118329676093e-14 3.706838929830569377e-14
7.0 2.327858433065648739e-14 2.327858433065648739e-14 1.303078841961446550e-14 1.842561479109331622e-14 2.625449949074346140e-14 3.434699533053605608e-14 4.023259681980598322e-14
8.0 3.382635587637300613e-14 3.382635587637300613e-14 1.529755755917124135e-14 2.209962161691150904e-14 3.169706756836660610e-14 4.221574260281544326e-14 4.789732986297848088e-14
9.0 3.897634174580168767e-14 3.897634174580168767e-14 1.691068831550779034e-14 2.414203112713567499e-14 3.579921044709364522e-14 4.660845150428734622e-14 5.426288057499438981e-14
10.0 3.051350181895637311e-14 3.051350181895637311e-14 2.013646814749217010e-14 2.827119387901725786e-14 4.161519130374516590e-14 5.384837475973201579e-14 6.489048436637683254e-14
11.0 3.150692492932742933e-14 3.150692492932742933e-14 2.065792679896390830e-14 2.954325640167821028e-14 4.278448976609015884e-14 5.589646538508014682e-14 6.706551710852612318e-14
12.0 4.723553626839267999e-14 4.723553626839267999e-14 2.159706605754357434e-14 3.112231456741715799e-14 4.581140820549434183e-14 5.951457218909748223e-14 7.103083564577258978e-14
13.0 6.630709273197842048e-14 6.630709273197842048e-14 2.393399925190803024e-14 3.410153615458470561e-14 4.980860029366773854e-14 6.526145568307715788e-14 7.456667783914815308e-14
14.0 7.597298186327370320e-14 7.597298186327370320e-14 2.799379254202499134e-14 4.015777776785164494e-14 5.739857661821939043e-14 7.403454724251667738e-14 8.916181735167433344e-14
15.0 8.134877123590282261e-14 8.134877123590282261e-14 3.595983528912253606e-14 5.174331113322667229e-14 7.609301886424774133e-14 9.890649292888845421e-14 1.200869566005817832e-13
16.0 8.059813027607515270e-14 8.059813027607515270e-14 4.462501333490281621e-14 6.256179120501601296e-14 9.092653146323615998e-14 1.207277555443502623e-13 1.422717315702309768e-13
17.0 1.056993497017734924e-13 1.056993497017734924e-13 5.685283965176368822e-14 8.414363346732838599e-14 1.246181569888375303e-13 1.652530300519612706e-13 2.017008075474202193e-13
