# mass pc_limit obs_limit -2_sigma -1_sigma median +1_sigma +2_sigma
7.0 7.181335624951823016e-61 7.181335624951823016e-61 7.051178925937435536e-62 2.818817196270067702e-61 1.161967379287036322e-60 3.403564353263727791e-60 6.407538474954431706e-60
8.0 5.462200085798322897e-60 5.462200085798322897e-60 2.284731313959897010e-61 9.951443961767052152e-61 4.211367029361517081e-60 1.325087273823712678e-59 2.195795870230000792e-59
9.0 1.542272582878078318e-59 1.542272582878078318e-59 5.465148663364278986e-61 2.270136973974743596e-60 1.097616516419699797e-59 3.153664849807714268e-59 5.793862965438009564e-59
10.0 8.829884196903463451e-60 8.829884196903463451e-60 1.674634368819858694e-60 6.506739170661684905e-60 3.054881608521931788e-59 8.564010723533522964e-59 1.805971389459327828e-58
11.0 1.469540689463191436e-59 1.469540689463191436e-59 2.715841870270763281e-60 1.136033131851888183e-59 4.996926613271528076e-59 1.455777247244235129e-58 3.016856500975229880e-58
12.0 1.051446519190088950e-58 1.051446519190088950e-58 4.595056047194319373e-60 1.981524007520137143e-59 9.302642980413323626e-59 2.649750914954949751e-58 5.376497922846403767e-58
13.0 5.623415289204345029e-58 5.623415289204345029e-58 9.545997228547075614e-60 3.934195913761017813e-59 1.790513341700198774e-58 5.277001749508981996e-58 8.993720551603660960e-58
14.0 1.303573833693980406e-57 1.303573833693980406e-57 2.402956472987807449e-59 1.017601252918370589e-58 4.247207078906690146e-58 1.175537923268016196e-57 2.472945770582138378e-57
15.0 2.258165811241633939e-57 2.258165811241633939e-57 8.622289762074360070e-59 3.696312697719138508e-58 1.728745632362900420e-57 4.934589716653035507e-57 1.072346632989602650e-56
16.0 2.816868681900081285e-57 2.816868681900081285e-57 2.647159857798635493e-58 1.022594448962672219e-57 4.562776867366868481e-57 1.418062066617576760e-56 2.734898430426741405e-56
17.0 1.061870973230264526e-56 1.061870973230264526e-56 8.887735747015681301e-58 4.264494262463368189e-57 2.051671303330155353e-56 6.344248903346405352e-56 1.408033655800528181e-55
