t4 e4 t1 e1 t2 e2 t3 e3 
3.5696284400 2.7870768571 2.8119389510 19.6306230986 2.8157358593 13.8659525013 2.8431008078 3.6311617348 
3.5997768132 1.6155698160 2.8611946481 18.9838643987 2.8655705607 13.6367195622 2.8898880136 1.8695760418 
3.6645707038 2.5405274830 2.9123514616 19.8619038774 2.9171088177 14.2578418374 2.9331904682 1.2460271960 
3.6778662333 2.2989571820 2.9620416248 19.3250196496 2.9659719231 13.7877687692 2.9822492683 1.0949289360 
3.6912461448 1.8263835178 3.0126652161 19.7526839396 3.0165532203 14.9603720436 3.0321426087 3.8498549977 
3.7047659613 2.5743743663 3.0629513028 19.7395785320 3.0660308398 14.0886084025 3.0813832966 1.4640287565 
3.7680413635 1.9120875037 3.1127290876 19.7091909354 3.1168342616 14.7641378559 3.1317276209 4.3904168887 
3.7854730103 1.9714373010 3.1637452900 20.2544336544 3.1668196257 14.3843332498 3.1783573602 3.9262314638 
3.7979814559 1.9139773210 3.2130963222 19.9113412135 3.2153770830 14.3348682610 3.2246897950 3.4650127198 
3.8076765946 2.2050525458 3.2643616258 20.6930297111 3.2666835969 14.6202185455 3.2713906776 4.6238919597 
3.8176844179 2.0773703253 3.3137562965 20.1889781868 3.3164253265 14.4127042431 3.3215439429 1.8634710495 
3.8307902170 1.9128350252 3.3646701871 20.7477964884 3.3674677101 15.1393717938 3.3734502857 3.8987325026 
3.8969595109 1.9110090734 3.4145904479 20.4727819676 3.4170751066 14.6239590261 3.4261663207 3.2080288004 
3.9116607598 1.9222284191 3.4649165965 20.6144377644 3.4681989087 14.6956657035 3.4781274827 2.8746772436 
3.9265889358 1.4906491222 3.5155028865 20.8544705187 3.5188381486 14.8101723724 3.5280027302 1.9850544456 
3.9398708485 1.5517846215 3.5650907829 20.7003114549 3.5688387207 14.5102711042 3.5783547513 1.7234509481 
3.9532598333 1.1876318469 3.6162664404 21.2996628614 3.6199593939 14.9820822370 3.6250960496 1.7808959822 
4.0324436320 1.0097772210 3.6655159627 20.9425817568 3.6696675830 14.6535066639 3.6791490495 5.3320221255 
4.0457209555 1.6180121904 3.7167028083 21.4968887916 3.7209527377 15.3204630845 3.7300164656 1.6439762817 
4.0568630838 1.2621431696 3.7663316973 21.1642648429 3.7702882747 14.8364610672 3.7789447513 4.2959448689 
4.1145563464 2.2674770171 3.8169414647 21.3645315187 3.8209700913 15.2128460768 3.8307936817 2.9442328567 
4.2483699240 2.6768263306 3.8671908403 21.4370105985 3.8712200999 15.1171974473 3.8843998631 1.1424315412 
4.6001368146 2.0277330095 3.9170903662 21.3682138610 3.9210787890 15.1145039909 3.9449112736 3.6849777835 
4.6517273034 2.9759108663 3.9681301239 21.8257812408 3.9721019228 15.6777263493 3.9952586387 1.2303404262 
4.7536291159 2.8614390337 4.0174294615 21.5792763444 4.0216249219 15.2951421320 4.0441240088 3.4805893040 
4.7671228447 2.7783661358 4.0686729974 22.0717342623 4.0732823845 15.9474277418 4.0910364556 1.7362695873 
4.7811580237 2.4500959601 4.1180810013 21.7714644923 4.1225834316 15.5448336158 4.1342854474 1.2727272593 
4.8618296169 2.3272868188 4.1688800214 21.9801534806 4.1725474890 15.9497770357 4.1831369856 1.0723881888 
4.8749435731 1.9890940216 4.2190254087 21.9679842132 4.2225569652 15.7134396665 4.2331461501 3.9432801340 
4.8881933801 2.0635210002 4.2691089082 21.9307317534 4.2726182122 15.7565615651 4.2823297867 1.3398105050 
4.9017221138 2.1628470381 4.3199745834 22.3001399769 4.3234493844 16.0655382592 4.3326665162 4.3386413471 
4.9169476114 2.0179265076 4.3693535680 22.1181154378 4.3718799213 16.0454060693 4.3794090355 3.9365744961 
4.9820089436 1.9080683342 4.4206016531 22.5461409791 4.4224225657 15.9327521990 4.4256789408 3.3527642560 
4.9949058935 2.0062058292 4.4699763536 22.2887643527 4.4726375533 15.8869382494 4.4724025670 4.7584164325 
5.0050210855 1.8759861516 4.5208127961 22.4602077095 4.5230450716 16.0192455913 4.5223782301 1.7756791989 
5.0147659045 2.0052394942 4.5708495037 22.4361181077 4.5733066064 15.9695571515 4.5743407581 3.8821353483 
5.0270637579 2.1248570188 4.6208971855 22.3985357122 4.6234910675 15.9186468274 4.6272129827 3.1491466649 
5.0432676493 2.0203404247 4.6718354759 22.7104841243 4.6750472569 15.9399162060 4.6791832193 2.9365312770 
5.1080676612 1.6698932719 4.7213191419 22.5733157300 4.7244983206 16.3004148820 4.7289857138 1.8559184110 
5.1228548401 1.7337586895 4.7724830921 22.9480310883 4.7758834558 16.0269838461 4.7794395091 1.6465275365 
5.1343212567 1.8222978489 4.8218960802 22.7257254095 4.8257696980 15.8562400892 4.8261078070 1.6919400806 
5.1488042008 1.4734188253 4.8727216284 22.8442121020 4.8764838638 15.8963115122 4.8802198513 5.2768998791 
5.2249677471 1.6121027448 4.9227810879 22.8376519846 4.9268541516 16.0393779807 4.9309481043 1.5807853670 
5.2418105593 1.4953047035 4.9728336041 22.7905265795 4.9763153921 15.9397377268 4.9800164968 4.1405368730 
5.2528146884 1.5673725666 5.0236628603 23.0805528980 5.0274872915 16.4748685278 5.0316855678 2.9103530562 
5.2674368855 1.5413945752 5.0730857823 22.9641310803 5.0766087603 16.1433099796 5.0853848291 1.0530544195 
5.3763745102 1.7528075173 5.1243425840 23.2660923750 5.1277990112 16.6910688196 5.1458707231 3.6913441864 
5.7002679781 1.4107868650 5.1738797048 23.0889073702 5.1775778348 16.3112174716 5.1963858284 1.2112921363 
5.8452777672 2.7567348666 5.2245995069 23.1497039339 5.2282582133 16.4717752116 5.2451294999 3.4360234314 
5.9491994549 3.0039720040 5.2747758215 23.1782007042 5.2792385251 16.4654271063 5.2918741425 1.6715523622 
