logalpha,pdf
3.5946,0.29743
3.6046,0.29797
3.6146,0.2985
3.6246,0.29901
3.6346,0.2995
3.6446,0.29998
3.6547,0.30044
3.6647,0.30088
3.6747,0.3013
3.6847,0.30171
3.6947,0.3021
3.7047,0.30247
3.7147,0.30283
3.7247,0.30316
3.7347,0.30348
3.7447,0.30379
3.7548,0.30407
3.7648,0.30434
3.7748,0.30459
3.7848,0.30482
3.7948,0.30503
3.8048,0.30523
3.8148,0.30541
3.8248,0.30557
3.8348,0.30571
3.8448,0.30583
3.8549,0.30594
3.8649,0.30603
3.8749,0.3061
3.8849,0.30615
3.8949,0.30618
3.9049,0.3062
3.9149,0.3062
3.9249,0.30618
3.9349,0.30614
3.9449,0.30608
3.955,0.30601
3.965,0.30591
3.975,0.3058
3.985,0.30567
3.995,0.30553
4.005,0.30536
4.015,0.30518
4.025,0.30498
4.035,0.30476
4.045,0.30453
4.0551,0.30427
4.0651,0.304
4.0751,0.30371
4.0851,0.3034
4.0951,0.30308
4.1051,0.30274
4.1151,0.30238
4.1251,0.302
4.1351,0.30161
4.1451,0.3012
4.1552,0.30077
4.1652,0.30032
4.1752,0.29986
4.1852,0.29938
4.1952,0.29888
4.2052,0.29837
4.2152,0.29784
4.2252,0.29729
4.2352,0.29673
4.2452,0.29615
4.2553,0.29555
4.2653,0.29494
4.2753,0.29431
4.2853,0.29367
4.2953,0.29301
4.3053,0.29233
4.3153,0.29164
4.3253,0.29093
4.3353,0.29021
4.3453,0.28947
4.3554,0.28872
4.3654,0.28795
4.3754,0.28717
4.3854,0.28637
4.3954,0.28556
4.4054,0.28473
4.4154,0.28389
4.4254,0.28304
4.4354,0.28217
4.4454,0.28128
4.4555,0.28039
4.4655,0.27948
4.4755,0.27855
4.4855,0.27761
4.4955,0.27666
4.5055,0.2757
4.5155,0.27472
4.5255,0.27373
4.5355,0.27273
4.5455,0.27172
4.5556,0.27069
4.5656,0.26965
4.5756,0.2686
4.5856,0.26754
4.5956,0.26646
4.6056,0.26538
4.6156,0.26428
4.6256,0.26318
4.6356,0.26206
4.6456,0.26093
4.6557,0.25979
4.6657,0.25864
4.6757,0.25748
4.6857,0.25631
4.6957,0.25513
4.7057,0.25394
4.7157,0.25274
4.7257,0.25154
4.7357,0.25032
4.7457,0.2491
4.7558,0.24786
4.7658,0.24662
4.7758,0.24537
4.7858,0.24411
4.7958,0.24284
4.8058,0.24157
4.8158,0.24029
4.8258,0.239
4.8358,0.2377
4.8458,0.2364
4.8559,0.23509
4.8659,0.23377
4.8759,0.23245
4.8859,0.23112
4.8959,0.22979
4.9059,0.22845
4.9159,0.2271
4.9259,0.22575
4.9359,0.22439
4.9459,0.22303
4.956,0.22166
4.966,0.22029
4.976,0.21892
4.986,0.21754
4.996,0.21615
5.006,0.21476
5.016,0.21337
5.026,0.21198
5.036,0.21058
5.046,0.20918
5.0561,0.20777
5.0661,0.20637
5.0761,0.20496
5.0861,0.20354
5.0961,0.20213
5.1061,0.20071
5.1161,0.1993
5.1261,0.19788
5.1361,0.19645
5.1461,0.19503
5.1562,0.19361
5.1662,0.19218
5.1762,0.19076
5.1862,0.18933
5.1962,0.18791
5.2062,0.18648
5.2162,0.18505
5.2262,0.18363
5.2362,0.1822
5.2462,0.18077
5.2563,0.17935
5.2663,0.17792
5.2763,0.1765
5.2863,0.17508
5.2963,0.17365
5.3063,0.17223
5.3163,0.17081
5.3263,0.1694
5.3363,0.16798
5.3463,0.16657
5.3564,0.16516
5.3664,0.16375
5.3764,0.16234
5.3864,0.16094
5.3964,0.15954
5.4064,0.15814
5.4164,0.15674
5.4264,0.15535
5.4364,0.15396
5.4464,0.15258
5.4565,0.1512
5.4665,0.14982
5.4765,0.14844
5.4865,0.14707
5.4965,0.14571
5.5065,0.14435
5.5165,0.14299
5.5265,0.14163
5.5365,0.14028
5.5465,0.13894
5.5566,0.1376
5.5666,0.13627
5.5766,0.13494
