ref_real,ref_imag,ref_abs,opt_real,opt_imag,opt_abs,loo_real,loo_imag,loo_abs,x
-4.5623e-10,-2.1244e-08,2.1248e+06,-4.901e-10,-2.125e-08,2.1256e-08,-4.7112e-10,-2.127e-08,2.1276e-08,4635
-2.7372e-09,-1.9317e-08,1.951e+06,-2.7734e-09,-1.9309e-08,1.9508e-08,-2.7594e-09,-1.9331e-08,1.9527e-08,4637.5
-4.4564e-09,-1.7389e-08,1.7951e+06,-4.4855e-09,-1.737e-08,1.794e-08,-4.477e-09,-1.7391e-08,1.7958e-08,4640
-5.7176e-09,-1.5539e-08,1.6557e+06,-5.7346e-09,-1.5516e-08,1.6542e-08,-5.7311e-09,-1.5533e-08,1.6557e-08,4642.5
-6.6131e-09,-1.3814e-08,1.5315e+06,-6.619e-09,-1.3795e-08,1.5301e-08,-6.619e-09,-1.3807e-08,1.5312e-08,4645
-7.2231e-09,-1.2239e-08,1.4211e+06,-7.223e-09,-1.2229e-08,1.4202e-08,-7.2242e-09,-1.2235e-08,1.4208e-08,4647.5
-7.6155e-09,-1.0821e-08,1.3232e+06,-7.6155e-09,-1.0821e-08,1.3232e-08,-7.6155e-09,-1.0821e-08,1.3232e-08,4650
-7.8461e-09,-9.5584e-09,1.2366e+06,-7.8512e-09,-9.5657e-09,1.2375e-08,-7.8476e-09,-9.5609e-09,1.2369e-08,4652.5
-7.9596e-09,-8.4407e-09,1.1602e+06,-7.9723e-09,-8.4508e-09,1.1618e-08,-7.9636e-09,-8.4437e-09,1.1607e-08,4655
-7.9904e-09,-7.4538e-09,1.0927e+06,-8.01e-09,-7.462e-09,1.0947e-08,-7.9963e-09,-7.4554e-09,1.0933e-08,4657.5
-7.9642e-09,-6.5821e-09,1.0332e+06,-7.9879e-09,-6.585e-09,1.0352e-08,-7.9706e-09,-6.5815e-09,1.0337e-08,4660
-7.8996e-09,-5.8104e-09,9.8063e+05,-7.9233e-09,-5.8069e-09,9.8234e-09,-7.9051e-09,-5.8078e-09,9.8092e-09,4662.5
-7.8099e-09,-5.1248e-09,9.3412e+05,-7.83e-09,-5.116e-09,9.3532e-09,-7.8136e-09,-5.1211e-09,9.3423e-09,4665
-7.7048e-09,-4.5131e-09,8.9293e+05,-7.7188e-09,-4.5018e-09,8.9357e-09,-7.7067e-09,-4.5095e-09,8.9291e-09,4667.5
-7.5917e-09,-3.9646e-09,8.5646e+05,-7.5992e-09,-3.9545e-09,8.5665e-09,-7.5922e-09,-3.962e-09,8.5638e-09,4670
-7.4763e-09,-3.4699e-09,8.2423e+05,-7.4787e-09,-3.4639e-09,8.2419e-09,-7.4762e-09,-3.4687e-09,8.2417e-09,4672.5
-7.3631e-09,-3.02e-09,7.9584e+05,-7.3631e-09,-3.02e-09,7.9584e-09,-7.3631e-09,-3.02e-09,7.9584e-09,4675
-7.2552e-09,-2.6062e-09,7.7091e+05,-7.2562e-09,-2.6122e-09,7.712e-09,-7.2559e-09,-2.607e-09,7.71e-09,4677.5
-7.1546e-09,-2.2198e-09,7.491e+05,-7.1592e-09,-2.2302e-09,7.4985e-09,-7.1561e-09,-2.2209e-09,7.4928e-09,4680
-7.0613e-09,-1.8526e-09,7.3003e+05,-7.0709e-09,-1.8644e-09,7.3125e-09,-7.0635e-09,-1.8533e-09,7.3025e-09,4682.5
-6.9736e-09,-1.4965e-09,7.1324e+05,-6.9878e-09,-1.5067e-09,7.1484e-09,-6.976e-09,-1.4966e-09,7.1347e-09,4685
-6.8877e-09,-1.1444e-09,6.9821e+05,-6.9045e-09,-1.1508e-09,6.9998e-09,-6.8899e-09,-1.144e-09,6.9842e-09,4687.5
-6.7979e-09,-7.912e-10,6.8438e+05,-6.8146e-09,-7.9289e-10,6.8606e-09,-6.7996e-09,-7.9044e-10,6.8454e-09,4690
-6.6972e-09,-4.3367e-10,6.7112e+05,-6.711e-09,-4.3141e-10,6.7249e-09,-6.6983e-09,-4.3288e-10,6.7123e-09,4692.5
-6.5779e-09,-7.1363e-11,6.5782e+05,-6.587e-09,-6.7197e-11,6.5873e-09,-6.5785e-09,-7.0713e-11,6.5789e-09,4695
-6.4322e-09,2.935e-10,6.4389e+05,-6.4362e-09,2.9686e-10,6.443e-09,-6.4324e-09,2.9388e-10,6.4391e-09,4697.5
-6.2533e-09,6.5598e-10,6.2876e+05,-6.2533e-09,6.5598e-10,6.2876e-09,-6.2533e-09,6.5598e-10,6.2876e-09,4700
-6.0361e-09,1.0086e-09,6.1198e+05,-6.0345e-09,1.0038e-09,6.1174e-09,-6.0361e-09,1.0082e-09,6.1197e-09,4702.5
-5.7777e-09,1.3419e-09,5.9315e+05,-5.7775e-09,1.3324e-09,5.9291e-09,-5.778e-09,1.3414e-09,5.9317e-09,4705
-5.4788e-09,1.6452e-09,5.7204e+05,-5.4821e-09,1.6331e-09,5.7202e-09,-5.4794e-09,1.645e-09,5.721e-09,4707.5
-5.1433e-09,1.9082e-09,5.4859e+05,-5.1507e-09,1.8964e-09,5.4888e-09,-5.1438e-09,1.9089e-09,5.4866e-09,4710
-4.7785e-09,2.1221e-09,5.2285e+05,-4.7887e-09,2.113e-09,5.2342e-09,-4.7781e-09,2.1235e-09,5.2287e-09,4712.5
-4.3936e-09,2.28e-09,4.9499e+05,-4.4042e-09,2.2747e-09,4.9569e-09,-4.3918e-09,2.2814e-09,4.949e-09,4715
-3.9994e-09,2.3775e-09,4.6527e+05,-4.0083e-09,2.3754e-09,4.6593e-09,-3.9966e-09,2.3779e-09,4.6505e-09,4717.5
-3.6078e-09,2.4127e-09,4.3402e+05,-3.6139e-09,2.4124e-09,4.3451e-09,-3.6053e-09,2.4118e-09,4.3376e-09,4720
-3.2318e-09,2.3864e-09,4.0174e+05,-3.2348e-09,2.3868e-09,4.02e-09,-3.2305e-09,2.3851e-09,4.0156e-09,4722.5
-2.8841e-09,2.3036e-09,3.6912e+05,-2.8841e-09,2.3036e-09,3.6912e-09,-2.8841e-09,2.3036e-09,3.6912e-09,4725
-2.5759e-09,2.1729e-09,3.37e+05,-2.5731e-09,2.1718e-09,3.3671e-09,-2.5757e-09,2.1755e-09,3.3715e-09,4727.5
-2.3146e-09,2.0063e-09,3.0631e+05,-2.3093e-09,2.0031e-09,3.057e-09,-2.3121e-09,2.0112e-09,3.0644e-09,4730
-2.1033e-09,1.8167e-09,2.7793e+05,-2.0965e-09,1.8104e-09,2.7699e-09,-2.0969e-09,1.8221e-09,2.778e-09,4732.5
-1.9407e-09,1.616e-09,2.5255e+05,-1.9341e-09,1.6061e-09,2.514e-09,-1.9306e-09,1.6195e-09,2.5199e-09,4735
-1.8226e-09,1.414e-09,2.3067e+05,-1.8181e-09,1.4012e-09,2.2954e-09,-1.8105e-09,1.4136e-09,2.297e-09,4737.5
-1.743e-09,1.2172e-09,2.126e+05,-1.742e-09,1.2034e-09,2.1173e-09,-1.7318e-09,1.2127e-09,2.1141e-09,4740
-1.696e-09,1.0298e-09,1.9842e+05,-1.6985e-09,1.0175e-09,1.98e-09,-1.6879e-09,1.0225e-09,1.9734e-09,4742.5
-1.676e-09,8.535e-10,1.8808e+05,-1.6805e-09,8.4501e-10,1.8809e-09,-1.672e-09,8.462e-10,1.8739e-09,4745
-1.6785e-09,6.8884e-10,1.8143e+05,-1.6821e-09,6.8501e-10,1.8162e-09,-1.6776e-09,6.843e-10,1.8118e-09,4747.5
-1.6998e-09,5.3525e-10,1.7821e+05,-1.6998e-09,5.3525e-10,1.7821e-09,-1.6998e-09,5.3525e-10,1.7821e-09,4750
-1.7375e-09,3.9161e-10,1.7811e+05,-1.7319e-09,3.9302e-10,1.776e-09,-1.7353e-09,3.9617e-10,1.7799e-09,4752.5
-1.7902e-09,2.5647e-10,1.8084e+05,-1.7788e-09,2.5608e-10,1.7971e-09,-1.7831e-09,2.6373e-10,1.8025e-09,4755
-1.8574e-09,1.2824e-10,1.8618e+05,-1.8419e-09,1.2315e-10,1.846e-09,-1.8444e-09,1.3508e-10,1.8494e-09,4757.5
-1.94e-09,5.5166e-12,1.94e+05,-1.9236e-09,-5.7797e-12,1.9236e-09,-1.9222e-09,8.6443e-12,1.9222e-09,4760
-2.0402e-09,-1.1251e-10,2.0433e+05,-2.0263e-09,-1.2947e-10,2.0305e-09,-2.0203e-09,-1.1527e-10,2.0236e-09,4762.5
-2.161e-09,-2.2542e-10,2.1728e+05,-2.1527e-09,-2.4548e-10,2.1666e-09,-2.143e-09,-2.3418e-10,2.1558e-09,4765
-2.3066e-09,-3.3097e-10,2.3302e+05,-2.3046e-09,-3.5021e-10,2.3311e-09,-2.2937e-09,-3.4344e-10,2.3193e-09,4767.5
-2.4808e-09,-4.245e-10,2.5169e+05,-2.4836e-09,-4.3895e-10,2.5221e-09,-2.4744e-09,-4.3664e-10,2.5127e-09,4770
-2.6863e-09,-4.988e-10,2.7322e+05,-2.6901e-09,-5.0594e-10,2.7373e-09,-2.6851e-09,-5.0627e-10,2.7324e-09,4772.5
-2.9231e-09,-5.4448e-10,2.9733e+05,-2.9231e-09,-5.4448e-10,2.9733e-09,-2.9231e-09,-5.4448e-10,2.9733e-09,4775
-3.1874e-09,-5.5125e-10,3.2348e+05,-3.1795e-09,-5.4739e-10,3.2262e-09,-3.1835e-09,-5.44e-10,3.2297e-09,4777.5
-3.4713e-09,-5.0995e-10,3.5086e+05,-3.4539e-09,-5.0771e-10,3.491e-09,-3.4594e-09,-4.9896e-10,3.4952e-09,4780
-3.7631e-09,-4.147e-10,3.7859e+05,-3.7387e-09,-4.1963e-10,3.7621e-09,-3.7421e-09,-4.0546e-10,3.764e-09,4782.5
-4.0499e-09,-2.6436e-10,4.0585e+05,-4.0239e-09,-2.7957e-10,4.0336e-09,-4.0225e-09,-2.6198e-10,4.031e-09,4785
-4.3199e-09,-6.2439e-11,4.3204e+05,-4.2989e-09,-8.6952e-11,4.2998e-09,-4.2913e-09,-6.9381e-11,4.2919e-09,4787.5
-4.5645e-09,1.8434e-10,4.5682e+05,-4.5531e-09,1.554e-10,4.5557e-09,-4.5404e-09,1.6935e-10,4.5436e-09,4790
-4.7787e-09,4.6826e-10,4.8016e+05,-4.7776e-09,4.4164e-10,4.7979e-09,-4.763e-09,4.4964e-10,4.7842e-09,4792.5
-4.9611e-09,7.8258e-10,5.0224e+05,-4.9666e-09,7.64e-10,5.0251e-09,-4.9543e-09,7.6609e-10,5.0132e-09,4795
-5.1121e-09,1.1227e-09,5.2339e+05,-5.118e-09,1.1145e-09,5.238e-09,-5.1113e-09,1.1133e-09,5.2311e-09,4797.5
-5.2326e-09,1.4867e-09,5.4397e+05,-5.2326e-09,1.4867e-09,5.4397e-09,-5.2326e-09,1.4867e-09,5.4397e-09,4800
-5.3227e-09,1.8745e-09,5.6431e+05,-5.3131e-09,1.8774e-09,5.635e-09,-5.318e-09,1.8831e-09,5.6415e-09,4802.5
-5.3807e-09,2.288e-09,5.8469e+05,-5.3619e-09,2.2872e-09,5.8294e-09,-5.3671e-09,2.3012e-09,5.8396e-09,4805
-5.4024e-09,2.7294e-09,6.0527e+05,-5.3787e-09,2.7202e-09,6.0275e-09,-5.3786e-09,2.7418e-09,6.0371e-09,4807.5
-5.3808e-09,3.2006e-09,6.2608e+05,-5.3585e-09,3.1819e-09,6.232e-09,-5.3488e-09,3.2067e-09,6.2364e-09,4810
-5.3058e-09,3.7021e-09,6.4697e+05,-5.2905e-09,3.6766e-09,6.4426e-09,-5.2704e-09,3.6982e-09,6.4385e-09,4812.5
-5.1645e-09,4.231e-09,6.6763e+05,-5.1588e-09,4.2043e-09,6.655e-09,-5.1321e-09,4.2169e-09,6.6424e-09,4815
-4.9418e-09,4.7796e-09,6.8751e+05,-4.9444e-09,4.7576e-09,6.8616e-09,-4.9182e-09,4.759e-09,6.8437e-09,4817.5
-4.6226e-09,5.3339e-09,7.0582e+05,-4.6291e-09,5.3201e-09,7.0521e-09,-4.6103e-09,5.3134e-09,7.0347e-09,4820
-4.194e-09,5.872e-09,7.216e+05,-4.1991e-09,5.8667e-09,7.2146e-09,-4.1911e-09,5.8592e-09,7.2039e-09,4822.5
-3.6496e-09,6.3652e-09,7.3372e+05,-3.6496e-09,6.3652e-09,7.3372e-09,-3.6496e-09,6.3652e-09,7.3372e-09,4825
-2.9932e-09,6.7795e-09,7.4108e+05,-2.9871e-09,6.7807e-09,7.4095e-09,-2.987e-09,6.7922e-09,7.42e-09,4827.5
-2.2415e-09,7.0811e-09,7.4274e+05,-2.231e-09,7.0803e-09,7.4235e-09,-2.2217e-09,7.1006e-09,7.4401e-09,4830
-1.4239e-09,7.2421e-09,7.3808e+05,-1.4117e-09,7.2382e-09,7.3746e-09,-1.3885e-09,7.2584e-09,7.3901e-09,4832.5
-5.7902e-10,7.2461e-09,7.2692e+05,-5.6724e-10,7.2395e-09,7.2617e-09,-5.3283e-10,7.25e-09,7.2695e-09,4835
2.5107e-10,7.0909e-09,7.0954e+05,2.6122e-10,7.0829e-09,7.0877e-09,2.9822e-10,7.0782e-09,7.0845e-09,4837.5
1.027e-09,6.7885e-09,6.8658e+05,1.0352e-09,6.7802e-09,6.8587e-09,1.0649e-09,6.7623e-09,6.8456e-09,4840
1.7175e-09,6.3621e-09,6.5898e+05,1.7235e-09,6.3542e-09,6.5838e-09,1.7401e-09,6.3308e-09,6.5656e-09,4842.5
2.3016e-09,5.8412e-09,6.2783e+05,2.3054e-09,5.8346e-09,6.2735e-09,2.3096e-09,5.8148e-09,6.2567e-09,4845
2.7701e-09,5.2569e-09,5.9421e+05,2.7717e-09,5.2529e-09,5.9393e-09,2.7697e-09,5.2428e-09,5.9294e-09,4847.5
3.1235e-09,4.638e-09,5.5917e+05,3.1235e-09,4.638e-09,5.5917e-09,3.1235e-09,4.638e-09,5.5917e-09,4850
3.369e-09,4.0073e-09,5.2353e+05,3.3693e-09,4.0127e-09,5.2396e-09,3.3772e-09,4.018e-09,5.2488e-09,4852.5
3.5174e-09,3.3813e-09,4.8791e+05,3.5209e-09,3.3923e-09,4.8892e-09,3.5379e-09,3.3957e-09,4.9039e-09,4855
3.5798e-09,2.7704e-09,4.5266e+05,3.5894e-09,2.7852e-09,4.5433e-09,3.6121e-09,2.7807e-09,4.5584e-09,4857.5
3.5652e-09,2.1803e-09,4.179e+05,3.5828e-09,2.1951e-09,4.2018e-09,3.6045e-09,2.1807e-09,4.2128e-09,4860
3.4795e-09,1.6143e-09,3.8358e+05,3.504e-09,1.6246e-09,3.8623e-09,3.5186e-09,1.6026e-09,3.8664e-09,4862.5
3.325e-09,1.0758e-09,3.4947e+05,3.3523e-09,1.0779e-09,3.5213e-09,3.3569e-09,1.0543e-09,3.5186e-09,4865
3.1011e-09,5.7011e-10,3.1531e+05,3.1254e-09,5.6399e-10,3.1759e-09,3.1213e-09,5.4476e-10,3.1685e-09,4867.5
2.8065e-09,1.0711e-10,2.8085e+05,2.8226e-09,9.6517e-11,2.8243e-09,2.8147e-09,8.5347e-11,2.816e-09,4870
2.4418e-09,-2.9844e-10,2.4599e+05,2.4482e-09,-3.0693e-10,2.4674e-09,2.4424e-09,-3.1047e-10,2.462e-09,4872.5
2.0136e-09,-6.2765e-10,2.1092e+05,2.0136e-09,-6.2765e-10,2.1092e-09,2.0136e-09,-6.2765e-10,2.1092e-09,4875
1.5376e-09,-8.6087e-10,1.7622e+05,1.538e-09,-8.4954e-10,1.757e-09,1.5438e-09,-8.5138e-10,1.763e-09,4877.5
1.0389e-09,-9.8299e-10,1.4303e+05,1.047e-09,-9.6266e-10,1.4223e-09,1.0549e-09,-9.7001e-10,1.4331e-09,4880
5.5019e-10,-9.889e-10,1.1317e+05,5.6995e-10,-9.6608e-10,1.1217e-09,5.7502e-10,-9.7889e-10,1.1353e-09,4882.5
