tgradvar,ygradvar,tadaptive,yadaptive,tdeltaone,ydeltaone,tdomke,ydomke
4701.0,6.309440924799421e7,4701.0,1.2741403762714146e8,4701.0,2.0140564278124395e8,4701.0,4.0507538847465134e8
4801.0,6.04258094601252e7,4801.0,1.2644848402065192e8,4801.0,2.0112976795762923e8,4801.0,4.045832874379332e8
4901.0,6.0462700484881625e7,4901.0,1.2636550489034761e8,4901.0,2.0110605943147123e8,4901.0,4.045409965534352e8
5001.0,6.245799966951418e7,5001.0,1.2610834278234027e8,5001.0,2.010325839136853e8,5001.0,4.044099321163035e8
5101.0,6.2614122433983624e7,5101.0,1.25851724823511e8,5101.0,2.0095926386842567e8,5101.0,4.042791450085431e8
5201.0,5.985335796648892e7,5201.0,1.2490728513233452e8,5201.0,2.0068942164375073e8,5201.0,4.037978048239878e8
5301.0,5.953439761279422e7,5301.0,1.2462493315196928e8,5301.0,2.006087489578874e8,5301.0,4.0365390219515055e8
5401.0,6.031587145348279e7,5401.0,1.2585314861369656e8,5401.0,2.009596706691084e8,5401.0,4.042798706530041e8
5501.0,6.160029408142685e7,5501.0,1.2614745369328521e8,5501.0,2.0104375855545124e8,5501.0,4.044298652610752e8
5601.0,6.1303320346100606e7,5601.0,1.2608834592558022e8,5601.0,2.0102687047706774e8,5601.0,4.043997405807154e8
5701.0,6.131680081748852e7,5701.0,1.2540764003695339e8,5701.0,2.0083238141328475e8,5701.0,4.0405281414261603e8
5801.0,6.02136221676837e7,5801.0,1.2587400001427215e8,5801.0,2.0096562826319456e8,5801.0,4.042904977127254e8
5901.0,6.324809538058621e7,5901.0,1.2642248892010382e8,5901.0,2.011223407223827e8,5901.0,4.045700388561421e8
6001.0,6.141245706423563e7,6001.0,1.2548215920123404e8,6001.0,2.0085367278557488e8,6001.0,4.040907933472417e8
6101.0,6.1304390725262314e7,6101.0,1.2511286757394303e8,6101.0,2.007481599876768e8,6101.0,4.039025813293694e8
6201.0,6.187843576978082e7,6201.0,1.2550285564138487e8,6201.0,2.008595861048745e8,6201.0,4.041013414303167e8
6301.0,6.161532542447286e7,6301.0,1.2561097381592241e8,6301.0,2.0089047727666405e8,6301.0,4.041564446016169e8
6401.0,6.1678653076945014e7,6401.0,1.2633517345430064e8,6401.0,2.0109739323260543e8,6401.0,4.0452553792843133e8
6501.0,6.003542777454404e7,6501.0,1.2619088908971405e8,6501.0,2.0105616877508888e8,6501.0,4.0445200240961796e8
6601.0,6.142003066982926e7,6601.0,1.260648759303712e8,6601.0,2.010201647066734e8,6601.0,4.043877789362283e8
