tgradvar,ygradvar,tadaptive,yadaptive,tdeltaone,ydeltaone,tdomke,ydomke
321.0,6.39580060272809e9,321.0,1.1949080368892338e10,321.0,1.9443383399403828e10,321.0,3.472860327866629e10
331.0,5.414496320428564e9,331.0,1.0509303538302391e10,331.0,1.6726821804025946e10,331.0,2.9882844757181416e10
341.0,4.372801561840709e9,341.0,8.98911517289538e9,341.0,1.3858540245756374e10,341.0,2.4766450626214073e10
351.0,3.7928112712501826e9,351.0,7.709516420273117e9,351.0,1.1444201610064655e10,351.0,2.0459792519304523e10
361.0,2.957788529453486e9,361.0,6.507007765283854e9,361.0,9.175316071105942e9,361.0,1.6412591287648438e10
371.0,2.3666934057103653e9,371.0,5.537333807956423e9,371.0,7.345741531116688e9,371.0,1.314902589199193e10
381.0,2.0347710954394753e9,381.0,4.770520718539728e9,381.0,5.898923562328491e9,381.0,1.0568215461180552e10
391.0,1.593501752746329e9,391.0,4.126933941306096e9,391.0,4.684608200961326e9,391.0,8.402139411174257e9
401.0,1.3243990678025463e9,401.0,3.6946460916368337e9,401.0,3.868970287077949e9,401.0,6.947217726949856e9
411.0,1.1046711297549944e9,411.0,3.348777941724263e9,411.0,3.2163885027663493e9,411.0,5.783152922502136e9
421.0,8.391588424093409e8,421.0,2.903613927849603e9,421.0,2.3764559256872673e9,421.0,4.2848948120367465e9
431.0,6.675910185614734e8,431.0,2.6759970245701876e9,431.0,1.9469898273514998e9,431.0,3.518820150140513e9
441.0,5.839117731393608e8,441.0,2.512815974102126e9,441.0,1.639100878608439e9,441.0,2.9696128361664047e9
451.0,5.1801809476941985e8,451.0,2.402057317950705e9,451.0,1.4301221638076675e9,451.0,2.5968399935488124e9
461.0,3.955930545970101e8,461.0,2.225541939261338e9,461.0,1.0970740909722157e9,461.0,2.0027542420044925e9
471.0,3.310008975540008e8,471.0,2.143277988624732e9,471.0,9.418590019143533e8,471.0,1.725884083144522e9
481.0,3.091344062682823e8,481.0,2.0830006140658202e9,481.0,8.281280421448087e8,481.0,1.5230126413934424e9
491.0,2.6193059514438576e8,491.0,2.0162051964508278e9,491.0,7.020988809686527e8,491.0,1.298203867403543e9
501.0,2.181272783893038e8,501.0,1.9642096996115985e9,501.0,6.039941144207939e8,501.0,1.1232061757235785e9
511.0,2.0326543955339432e8,511.0,1.931550116752372e9,511.0,5.423722250894574e8,511.0,1.0132860488082213e9
521.0,1.8388200205510372e8,521.0,1.899429339302009e9,521.0,4.817669503125452e8,521.0,9.05179342449405e8
531.0,1.502000669319375e8,531.0,1.8625846962957797e9,531.0,4.122487166116189e8,531.0,7.811738444964013e8
541.0,1.4186353121160296e8,541.0,1.8404239618269782e9,541.0,3.7043598639936376e8,541.0,7.065889743880543e8
551.0,1.3349502480141588e8,551.0,1.8210083666780267e9,551.0,3.338027672695389e8,551.0,6.412432321564747e8
561.0,1.1959101439003816e8,561.0,1.8067168840367568e9,561.0,3.068376904191383e8,561.0,5.931433653422468e8
