tgradvar,ygradvar,tbound,ybound
7901.0,1.189129491726576e-14,7901.0,6.439548433381588e-14
8001.0,6.10829972064384e-15,8001.0,2.9892420067489864e-14
8101.0,2.6346129435031056e-15,8101.0,1.32528092847911e-14
8201.0,1.1890628763196475e-15,8201.0,7.280113108957102e-15
8301.0,5.826827004308224e-16,8301.0,4.714433256496682e-15
8401.0,3.957475025968774e-16,8401.0,3.940371183168445e-15
8501.0,3.084683525929993e-16,8501.0,3.609077869064637e-15
8601.0,2.6976986524008096e-16,8601.0,3.5203608260843916e-15
8701.0,2.5915756493108166e-16,8701.0,3.481434167455979e-15
8801.0,2.5056720258503606e-16,8801.0,3.4587476227707746e-15
8901.0,2.538837236689916e-16,8901.0,3.4504234918694003e-15
9001.0,2.4250086331385363e-16,9001.0,3.422013263870487e-15
9101.0,2.4494103753376783e-16,9101.0,3.4220163212019438e-15
9201.0,2.447397384910865e-16,9201.0,3.4169923880703337e-15
9301.0,2.4421422686954543e-16,9301.0,3.418648196578031e-15
9401.0,2.404180003778133e-16,9401.0,3.416863444974661e-15
9501.0,2.4812441668168295e-16,9501.0,3.4305457575489347e-15
9601.0,2.4425027801549523e-16,9601.0,3.406519098229166e-15
9701.0,2.464571517129538e-16,9701.0,3.40899598229648e-15
9801.0,2.4581933041441535e-16,9801.0,3.371188892087328e-15
9901.0,2.4215496184246673e-16,9901.0,3.3600905551917382e-15
