SimDETR,DETReg,Steps
8.706646215679,3.9010414824207,157
8.7748805152124,3.9195341605164,158
8.6798733701979,4.1693774065866,159
8.8622270130183,4.0243451317319,160
9.413311748202,3.84850160011,161
8.9805823346465,4.1041272374588,162
8.9383875170577,3.9183481955117,163
8.9819791417718,4.1386300464953,164
8.7319301906754,3.8509302727838,165
8.8256758700937,4.0079615192783,166
8.5549484684011,3.9614946418184,167
8.8517788117242,3.946996675023,168
9.2937631692772,4.1065860771077,169
8.7686962375588,3.9284843707546,170
8.4333819339524,4.1376808690556,171
8.7065416173648,4.0241218571135,172
9.0922883428465,4.157839912302,173
8.9212949790891,3.9434803295776,174
8.6873922851467,4.1145068013012,175
8.7429316636567,4.1251968181431,176
8.8043378042757,4.1433292509916,177
9.0537018448353,4.1683227681959,178
