x y y_pred y_pred_upper y_pred_lower
1.256637126207351685e-01 1.999999955296516418e-02 1.951140165328979492e-02 6.576526910066604614e-02 -2.765582874417304993e-02
2.513274252414703369e-01 3.999999910593032837e-02 2.887493371963500977e-02 8.984073810279369354e-02 -2.270811796188354492e-02
3.769911229610443115e-01 5.999999865889549255e-02 4.187500849366188049e-02 9.563272073864936829e-02 -2.272057160735130310e-02
5.026548504829406738e-01 7.999999821186065674e-02 4.459396004676818848e-02 1.074573509395122528e-01 -2.268669754266738892e-02
6.283185482025146484e-01 1.000000014901161194e-01 4.508007317781448364e-02 1.222847923636436462e-01 -2.140793949365615845e-02
7.539822459220886230e-01 1.199999973177909851e-01 5.059491097927093506e-02 1.294252723455429077e-01 -1.134093105792999268e-02
8.796459436416625977e-01 1.400000005960464478e-01 6.677034497261047363e-02 1.333866156637668610e-01 1.131910830736160278e-03
1.005309700965881348e+00 1.599999964237213135e-01 8.460373803973197937e-02 1.454686969518661499e-01 2.113561891019344330e-02
1.130973339080810547e+00 1.800000071525573730e-01 1.072716489434242249e-01 1.625492163002490997e-01 4.038871079683303833e-02
1.256637096405029297e+00 2.000000029802322388e-01 1.260044649243354797e-01 1.766625344753265381e-01 6.540245003998279572e-02
1.382300734519958496e+00 2.199999988079071045e-01 1.515939533710479736e-01 1.934444978833198547e-01 8.774672448635101318e-02
1.507964491844177246e+00 2.399999946355819702e-01 1.656158715486526489e-01 2.219076827168464661e-01 9.086794219911098480e-02
1.633628129959106445e+00 2.599999904632568359e-01 1.711360663175582886e-01 2.348601184785366058e-01 8.311181142926216125e-02
1.759291887283325195e+00 2.800000011920928955e-01 1.830511987209320068e-01 2.402608096599578857e-01 8.934199064970016479e-02
1.884955644607543945e+00 3.000000119209289551e-01 1.787956431508064270e-01 2.393517009913921356e-01 8.048397116363048553e-02
2.010619401931762695e+00 3.199999928474426270e-01 1.699760779738426208e-01 2.412448227405548096e-01 8.427460677921772003e-02
2.136282920837402344e+00 3.400000035762786865e-01 1.696592718362808228e-01 2.350024394690990448e-01 7.617364078760147095e-02
2.261946678161621094e+00 3.600000143051147461e-01 1.678504720330238342e-01 2.313526198267936707e-01 7.601137645542621613e-02
2.387610435485839844e+00 3.799999952316284180e-01 1.661466658115386963e-01 2.295625954866409302e-01 5.499834660440683365e-02
2.513274192810058594e+00 4.000000059604644775e-01 1.454545408487319946e-01 2.194732874631881714e-01 4.545105993747711182e-02
2.638937711715698242e+00 4.199999868869781494e-01 1.176542378962039948e-01 2.193784937262535095e-01 2.969428896903991699e-04
2.764601469039916992e+00 4.399999976158142090e-01 1.201230213046073914e-01 1.832712404429912567e-01 -2.761745080351829529e-02
2.890265226364135742e+00 4.600000083446502686e-01 7.698865979909896851e-02 1.518761068582534790e-01 -5.069599673151969910e-02
3.015928983688354492e+00 4.799999892711639404e-01 5.310250446200370789e-02 1.361312270164489746e-01 -6.783539801836013794e-02
3.141592741012573242e+00 5.000000000000000000e-01 1.386308670043945312e-02 1.128578241914510727e-01 -1.078117489814758301e-01
