t_new x1_new x2_new F_new d t_grad x1_grad x2_grad F_grad 
4.7943285106 5.1043565087 -4.1446811262 4.8663261913 4.2587041470 6.9188018975 4.9132773527 -3.9167603404 4.8808938474 
5.0981752377 5.3610767115 -4.3826214131 4.8476944115 4.5906711109 7.2010916223 5.3135533789 -3.3218225941 4.8800119854 
5.4243128526 4.9449366554 -3.5516392423 4.8896330598 5.2398670029 7.4909432262 4.7289040149 -4.2788738142 4.8767213068 
5.7325556527 4.4731958412 -3.4088589357 4.9106715464 5.3231583700 7.7460187314 4.9835703815 -3.8082148848 4.8812254809 
6.0584751082 5.1077076837 -3.7729355418 4.8771878303 5.9494558710 8.0467554949 4.7910901026 -3.1750177635 4.9044846678 
6.3398838572 5.3770181664 -3.6222744610 4.8698269431 6.5990967387 8.2881590533 5.2037174555 -4.4519380549 4.8520644161 
6.6230417984 4.1963038767 -3.8966338457 4.9069657695 7.2673931884 8.5801199548 4.8924611369 -3.7097900219 4.8875289217 
6.9382116089 4.6087671148 -3.9006248760 4.8928158762 7.5955702828 8.8090391410 4.7824533441 -3.7689098145 4.8901309257 
7.2504525298 5.1457856249 -3.2053973067 4.8897434214 8.5045543711 9.0477373397 5.3025454281 -3.9198026740 4.8648142759 
7.6459039554 4.9193391399 -3.0126813732 4.9029394720 9.4095727965 9.3202267988 4.2029596187 -3.7296595838 4.9114500412 
7.9884911453 4.6961341869 -3.3435318022 4.9042322538 9.9222537117 9.6311109508 4.9768824281 -3.8437384176 4.8804877898 
8.2706992436 5.0308878240 -4.1560352288 4.8689569249 11.2230308335 9.7510332060 4.3134361406 -4.0114584550 4.8997612946 
8.5617205193 4.5150897735 -3.1486885419 4.9151364072 12.8829143291 9.9708874829 5.5163322746 -3.4793440655 4.8672779790 
8.7725635485 4.7725957052 -3.5155687881 4.8971971766 12.4382209165 10.2382847940 4.7177118658 -3.9744056278 4.8866576482 
8.9372345573 3.9756315750 -2.9658101107 4.9364060367 14.6210036370 10.3801434207 5.2930553684 -3.3014221280 4.8813656590 
9.1593102024 4.9053306894 -3.3989191472 4.8949678957 13.9051534414 10.5618453278 4.6236673451 -4.4605124349 4.8744694433 
9.4069232804 4.0287555220 -3.1624114206 4.9307530842 16.2166908354 10.8607967211 4.9904118268 -3.5244037372 4.8885199961 
9.6500108326 4.0676988389 -3.2928425442 4.9266604845 15.3328689076 11.0702823497 4.8858573752 -4.1363879210 4.8753159163 
9.8325223060 3.9368951759 -3.2677930377 4.9311588073 17.7441909104 11.2939928696 4.8985288838 -3.6415299817 4.8891189595 
10.0908801019 3.8065732646 -3.5183477040 4.9289053568 17.2719295373 11.5066879005 4.9293365336 -3.9600945091 4.8789907745 
10.4204021548 4.3321359227 -2.8837231348 4.9267422867 20.2377028684 11.7676434874 5.1915036229 -4.0621364558 4.8652730885 
10.7499818333 4.1626599783 -2.6805140504 4.9358672719 20.1921707090 12.0609976772 4.3075758191 -3.4717619961 4.9147516742 
11.0161048580 4.0587130460 -3.8019257770 4.9139674322 22.1630850795 12.3038017491 5.3311988866 -3.9528279207 4.8626076174 
11.2828266214 3.9822296864 -2.6564780404 4.9418119330 26.2953215077 12.5588604773 4.7690945533 -3.7438599525 4.8913257940 
11.4642509307 4.1936846974 -3.3368110786 4.9216984602 24.2939679875 12.8740368428 4.1957579625 -4.0028913174 4.9038488739 
11.6120068422 3.5354611205 -2.2372263703 4.9602035391 25.0403050549 13.1046611809 5.4184298552 -3.4598904192 4.8721320837 
11.7703182916 4.1347706035 -2.9013138671 4.9327910942 27.7290933527 13.4077065716 4.7934011085 -3.7584361219 4.8900056910 
11.9719767848 3.4880980654 -2.4562837738 4.9584430279 24.7795878447 13.5224452247 5.1810074553 -3.2904905557 4.8863641484 
12.1244225794 3.2837813141 -2.2918142384 4.9655777944 34.2868416791 13.7370247747 4.5137729600 -4.4427964584 4.8790027607 
12.3110012881 3.9139120096 -2.5841708809 4.9449975971 30.6203152197 13.9994915764 4.8824899088 -3.4869422445 4.8937069519 
12.4770075042 2.6140472359 -2.3418808445 4.9779710366 35.1581121447 14.2285747323 4.7609095755 -3.9625845782 4.8853932589 
12.6232688879 3.6560480052 -2.3403372690 4.9557445250 31.7196275100 14.4409954163 4.8026664086 -3.6776083074 4.8918507097 
12.8352995288 2.6434708782 -2.5761159093 4.9740743106 30.1690886348 14.5855779972 5.0366047124 -4.3394433970 4.8627697010 
13.0048091514 3.0539165522 -2.3692364196 4.9695330921 35.0153406038 14.8122379023 4.4675657028 -3.3221681003 4.9129176171 
13.2537589095 2.5762095183 -2.8165409544 4.9710787126 34.3077413685 15.0867395048 4.6858804807 -3.7433842152 4.8944406406 
13.4744663606 3.2290720341 -2.0457673435 4.9696880426 37.5774524921 15.3220995840 5.0425635091 -3.7984819326 4.8791308957 
13.7482704548 2.6611489188 -3.0626640439 4.9649300066 42.6606772467 15.4695470385 4.9676316881 -3.8125688588 4.8817367760 
14.0181237646 3.0140829341 -2.1685926488 4.9728893058 47.2291691737 15.6890430067 4.4768536176 -3.6515785417 4.9044031008 
14.2259109167 2.9201152053 -2.4716624504 4.9707368362 44.7484048926 15.9492494725 4.4063110583 -3.8173552154 4.9022977728 
14.4030485143 2.8130848886 -1.6069802297 4.9817214909 55.0747481338 16.1690323677 5.0228364639 -3.4947126107 4.8879659789 
14.5931282660 3.1175299471 -2.5454609316 4.9656380872 48.1170788551 16.4795160831 4.2277535267 -4.1046330585 4.8997143037 
14.7545130343 2.4097419271 -1.3536067901 4.9894379497 48.4809256246 16.7448620091 4.7686804620 -3.6380629037 4.8941883585 
14.8948644375 2.8694738454 -1.8695204779 4.9787450084 52.5289446513 16.9995096027 4.7111271572 -3.3977843971 4.9023908260 
15.0924718806 2.5408197195 -1.6862278326 4.9857748298 47.9832240293 17.1988504851 4.6843739726 -3.9734645527 4.8879194849 
15.2850770649 2.2841373286 -1.4550653339 4.9907195343 59.6214193322 17.4283127281 4.5583223508 -3.3181690877 4.9098221706 
15.4725005795 2.6209887251 -1.6421620538 4.9848001172 56.2654221073 17.6844554436 4.9328951306 -4.3540804144 4.8664124023 
15.6038428345 1.5157442103 -1.4441793387 4.9976835631 57.9589511978 17.9904123951 4.5296077387 -3.5122530320 4.9061522696 
15.7803074411 2.6406083617 -1.4338764498 4.9856007771 56.5039949909 18.2422808170 4.4596179265 -3.6475469870 4.9051076938 
16.0446589328 1.2834363042 -1.7493509901 4.9967906848 66.3350125185 18.4562362775 4.9147481806 -3.7916919528 4.8844060136 
16.2605522018 2.4295969416 -1.2301722029 4.9895163667 65.0317576102 18.7399985804 3.9617491932 -3.6565913760 4.9208528199 
16.5213284538 1.5747491927 -1.7966693772 4.9951749063 68.9290343506 19.0307466071 4.9596207062 -3.7223847505 4.8845501257 
16.7875169964 1.7310213326 -1.8555848231 4.9936679121 64.0727096153 19.1531699933 4.0491770595 -3.9397747273 4.9103012191 
17.0780392884 1.9833880744 -0.8601235654 4.9950669124 69.5032316502 19.3596423416 5.2735161745 -3.3939460958 4.8800304080 
17.3373635012 1.8381889243 -1.9301396706 4.9921613976 69.9378939921 19.6370441566 4.3044778637 -4.0589598135 4.8986159545 
17.5968333689 1.8728779144 -1.3651518449 4.9955237414 73.4443782070 19.7844415046 5.0403094644 -3.2171205265 4.8938013800 
17.8312204582 1.6164699304 -1.0938222996 4.9980558110 67.5585200618 19.9508094563 4.4432990040 -4.2277688068 4.8886260025 
18.0401597252 1.9405864416 -1.3704351540 4.9948903747 75.3368620471 20.2554886314 4.7662569731 -3.2171805000 4.9044970952 
18.3029863630 1.0745249155 -0.8128936637 4.9997971863 71.7824179282 20.4609408363 4.6433191904 -4.3210261679 4.8784850523 
18.5600209363 2.1471081966 -1.2839523786 4.9930175692 77.0040051897 20.6972323409 4.5822194678 -3.3701270891 4.9077510063 
18.7953015012 0.9092271768 -1.0102997728 4.9999582710 84.7212435839 20.9077369096 4.7790937319 -4.0816360082 4.8811098504 
19.0502740512 1.4875502245 -1.0963263312 4.9987650801 79.2551256830 21.1377351873 4.5624743748 -3.5747651312 4.9033968042 
19.3173681661 1.7004657906 -0.8561698041 4.9974433028 80.6415786128 21.3344768531 4.8297422187 -3.9291187234 4.8837666902 
19.5486966669 0.8331772871 -1.5181082386 4.9985186702 80.1001108837 21.6229120313 5.0692235497 -3.8489828996 4.8766235807 
19.8392426042 1.5826704824 -0.6983560202 4.9978475301 84.1757551587 21.9054970897 3.9125411429 -3.6277291978 4.9230607168 
20.1140268930 1.2428291201 -1.0440446184 4.9996954705 83.9425655454 22.1930352366 4.6718912951 -3.7290046471 4.8953487398 
20.3871048249 1.2691834509 -1.7270920885 4.9969943868 85.7831125023 22.4185312362 4.6090915712 -3.6296577945 4.9002967896 
20.6528131741 1.1290203130 -0.4385840395 4.9983408294 87.2221250218 22.6598815528 4.2565807175 -3.9848127343 4.9024278749 
20.9254138048 1.3058044634 -1.2382411886 4.9992486238 86.9763092951 22.9184465181 4.9364589844 -3.1637492448 4.8991123994 
21.2216756626 1.6776782240 -1.4191078687 4.9968255041 89.5269390677 23.2236751553 4.4095429979 -3.9396135107 4.8986684448 
21.5018613237 0.6672888929 -0.6837619126 4.9989464840 90.1165198885 23.5061260673 4.5407335071 -4.1829034955 4.8866616578 
21.7700125976 1.2650756003 -1.0477450368 4.9996372767 89.1774309662 23.8056784749 4.4074575518 -3.0932184700 4.9200383473 
