arxiv_id,success,runtime_s,mem_before_rss,mem_after_rss,mem_max_rss,mem_avg_rss,size_before_bytes,size_after_bytes,disk_max_bytes,final_output_size_bytes,references_count
2307.15877,True,11.22,39411712,40042496,39989248,39700480,1057509,643552,4622564963,4622158745,16
2307.15878,True,14.09,40038400,40660992,40525824,40282112,5526787,170603,4624247804,4622341410,25
2307.15879,True,14.49,40652800,42115072,40652800,40376320,1225499,720233,4623063545,4623063545,1
2307.15880,True,27.6,42106880,41160704,42106880,41378816,21082431,274576,4632983079,4623364423,64
2307.15881,True,11.61,41152512,41287680,41287680,41220096,3593766,2187904,4626958288,4625561697,17
2307.15882,True,17.89,41279488,41570304,41570304,41411925,328776,192149,4625890573,4625756269,2
2307.15883,True,11.51,41562112,41578496,41574400,41568256,2105239,1302349,4627861605,4627088321,68
2307.15884,True,11.31,41574400,39686144,41582592,41578496,3797319,443627,4630134941,4627535720,7
2307.15885,True,10.05,39735296,40624128,40595456,40165376,1251955,148558,4627684376,4627688991,7
2307.15886,True,10.12,40615936,41897984,41897984,41256960,201779,204953,4627733069,4627900137,16
2307.15887,True,36.08,41902080,42110976,42098688,41985638,38346577,594063,4641231826,4628503388,20
2307.15888,True,11.39,42102784,42135552,42135552,42119168,2920620,105443,4631127171,4628622241,11
2307.15889,True,10.21,42127360,42160128,42160128,42143744,3570540,77199,4629901219,4628710748,27
2307.15890,True,11.93,42156032,40185856,42188800,42172416,4610733,2704563,4631208858,4631419749,10
2307.15891,True,9.71,40218624,40804352,40800256,40509440,42605,42880,4631462729,4631464928,4
2307.15892,True,17.98,40824832,41037824,41033728,40929962,6746268,758025,4634187815,4632239476,44
2307.15893,True,11.36,41037824,41050112,41046016,41041920,3848077,712216,4635148752,4632959065,13
2307.15894,True,14.18,41041920,41050112,41050112,41046016,1373998,1147908,4634120105,4634120105,0
2307.15895,True,10.15,41046016,40726528,41046016,40884224,1309028,141357,4635106801,4634268728,14
2307.15896,True,10.2,40718336,41156608,41156608,40937472,1076196,261887,4634530714,4634535653,8
2307.15897,True,14.41,41152512,41287680,41279488,41216000,5840177,1426197,4636624710,4635964365,0
2307.15898,True,36.84,41283584,41291776,41291776,41290137,31476595,442219,4651504692,4636423961,40
2307.15899,True,10.48,41283584,41566208,41287680,41285632,3356866,2536289,4637763630,4638964919,10
2307.15900,True,13.81,41562112,39313408,41562112,41562112,1010847,881984,4639860104,4639860104,40
2307.15901,True,13.99,39473152,40624128,40542208,40007680,7028612,519634,4642997739,4640386184,11
2307.15902,True,10.3,40648704,39116800,40648704,39852032,449416,184686,4640570969,4640572429,0
2307.15903,True,10.79,39137280,40603648,40476672,39806976,126065,128426,4640599192,4640710085,28
2307.15904,True,101.65,40611840,40718336,40685568,40661577,83624641,263305,4680547879,4640986440,29
