x y y_pred y_pred_upper y_pred_lower
2.513274252414703369e-01 3.999999910593032837e-02 -1.144339628517627716e-01 5.648992024362087250e-02 -2.652516588568687439e-01
3.769911229610443115e-01 5.999999865889549255e-02 -1.965051591396331787e-01 -3.779283910989761353e-02 -4.077330678701400757e-01
5.026548504829406738e-01 7.999999821186065674e-02 -2.245002314448356628e-01 -2.944712899625301361e-02 -4.578488543629646301e-01
6.283185482025146484e-01 1.000000014901161194e-01 -2.055757343769073486e-01 -9.198840707540512085e-04 -3.671989515423774719e-01
7.539822459220886230e-01 1.199999973177909851e-01 -1.116899102926254272e-01 2.123986184597015381e-02 -2.390120364725589752e-01
8.796459436416625977e-01 1.400000005960464478e-01 -4.835157096385955811e-02 1.144550368189811707e-01 -2.089317515492439270e-01
1.005309700965881348e+00 1.599999964237213135e-01 -7.514642179012298584e-02 1.679620891809463501e-01 -1.949801109731197357e-01
1.130973339080810547e+00 1.800000071525573730e-01 -3.266135230660438538e-02 1.482327394187450409e-01 -1.807725206017494202e-01
1.256637096405029297e+00 2.000000029802322388e-01 -3.533178381621837616e-02 1.663784086704254150e-01 -1.442366465926170349e-01
1.382300734519958496e+00 2.199999988079071045e-01 1.895153149962425232e-02 1.784991659224033356e-01 -1.624026522040367126e-01
1.507964491844177246e+00 2.399999946355819702e-01 8.005063235759735107e-02 2.307584248483181000e-01 -1.429586000740528107e-01
1.633628129959106445e+00 2.599999904632568359e-01 7.527295500040054321e-02 2.236798554658889771e-01 -1.269301250576972961e-01
1.759291887283325195e+00 2.800000011920928955e-01 6.958971917629241943e-02 1.772569045424461365e-01 -1.231415495276451111e-01
1.884955644607543945e+00 3.000000119209289551e-01 5.477842688560485840e-02 1.952436864376068115e-01 -1.583982631564140320e-01
2.010619401931762695e+00 3.199999928474426270e-01 1.479809731245040894e-02 2.251182831823825836e-01 -1.930751800537109375e-01
2.136282920837402344e+00 3.400000035762786865e-01 6.115037202835083008e-02 2.289592884480953217e-01 -1.650048047304153442e-01
2.261946678161621094e+00 3.600000143051147461e-01 7.408465445041656494e-02 2.191668301820755005e-01 -1.052484214305877686e-01
2.387610435485839844e+00 3.799999952316284180e-01 1.166351586580276489e-01 2.537014186382293701e-01 -6.259746849536895752e-03
2.513274192810058594e+00 4.000000059604644775e-01 1.503301262855529785e-01 2.980303838849067688e-01 -5.187205970287322998e-03
2.638937711715698242e+00 4.199999868869781494e-01 1.450798958539962769e-01 2.693695425987243652e-01 -6.428711116313934326e-02
2.764601469039916992e+00 4.399999976158142090e-01 8.279761672019958496e-02 2.310026735067367554e-01 -5.279136076569557190e-02
2.890265226364135742e+00 4.600000083446502686e-01 8.447057008743286133e-02 2.078955136239528656e-01 -5.486569553613662720e-02
3.015928983688354492e+00 4.799999892711639404e-01 9.203329309821128845e-02 2.454598285257816315e-01 -7.748560607433319092e-02
3.141592741012573242e+00 5.000000000000000000e-01 7.292352616786956787e-02 2.632901370525360107e-01 -1.150266677141189575e-01
