RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,33%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 11% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@25C CPU@26C thermal@25.3C Tboard@27C GPU 620/567 CPU 1394/1361 SOC 1239/1148 CV 0/0 VDDRQ 465/465 SYS5V 1929/1871
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 2% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@24.5C CPU@26C thermal@25.3C Tboard@27C GPU 620/569 CPU 1239/1357 SOC 1239/1152 CV 0/0 VDDRQ 465/465 SYS5V 1929/1874
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,33%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 6% AO@25.5C GPU@25C Tdiode@26.75C PMIC@50C AUX@25C CPU@26C thermal@25.3C Tboard@27C GPU 465/565 CPU 1239/1352 SOC 1239/1155 CV 0/0 VDDRQ 465/465 SYS5V 1929/1876
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 2% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C CPU@26C thermal@25.3C Tboard@27C GPU 465/562 CPU 1239/1348 SOC 1239/1158 CV 0/0 VDDRQ 465/465 SYS5V 1929/1878
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,33%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 4% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@24.5C CPU@26C thermal@25.3C Tboard@27C GPU 465/558 CPU 1084/1338 SOC 1239/1161 CV 0/0 VDDRQ 465/465 SYS5V 1929/1880
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 3% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C CPU@26C thermal@25.3C Tboard@27C GPU 465/555 CPU 1084/1330 SOC 1239/1164 CV 0/0 VDDRQ 465/465 SYS5V 1929/1881
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 3% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C CPU@26C thermal@25.3C Tboard@27C GPU 465/552 CPU 1084/1321 SOC 1239/1166 CV 0/0 VDDRQ 465/465 SYS5V 1929/1883
RAM 4363/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1496,0%@1618,100%@2187,50%@2187,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 23% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C CPU@26C thermal@25.3C Tboard@27C GPU 465/549 CPU 1084/1314 SOC 1239/1169 CV 0/0 VDDRQ 465/465 SYS5V 1969/1886
RAM 4364/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [66%@2187,0%@2187,25%@2187,100%@2187,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 8% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C CPU@26C thermal@25.3C Tboard@27C GPU 465/547 CPU 1239/1311 SOC 1239/1171 CV 0/0 VDDRQ 465/465 SYS5V 1969/1888
RAM 4364/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [25%@1190,0%@1190,0%@1190,100%@1190,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 5% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C CPU@26.5C thermal@25.3C Tboard@27C GPU 465/544 CPU 1239/1309 SOC 1239/1173 CV 0/0 VDDRQ 465/465 SYS5V 1969/1891
RAM 4366/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@2187,33%@2187,0%@2187,100%@2187,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 6% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C CPU@26.5C thermal@25.3C Tboard@27C GPU 464/542 CPU 1239/1307 SOC 1239/1175 CV 0/0 VDDRQ 465/465 SYS5V 1969/1893
RAM 4366/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@2187,0%@2187,0%@2187,100%@2187,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 6% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C CPU@26.5C thermal@25.3C Tboard@27C GPU 464/539 CPU 1394/1310 SOC 1239/1177 CV 0/0 VDDRQ 465/465 SYS5V 1969/1895
RAM 4367/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@2188,0%@2188,0%@2187,100%@2187,off,off,off,off] EMC_FREQ 2%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 5% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C CPU@26.5C thermal@25.3C Tboard@27C GPU 464/537 CPU 1394/1312 SOC 1239/1178 CV 0/0 VDDRQ 465/465 SYS5V 2009/1898
RAM 4368/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@2187,33%@2188,0%@2188,100%@2188,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 4% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C CPU@26.5C thermal@25.3C Tboard@27C GPU 464/535 CPU 1394/1314 SOC 1239/1180 CV 0/0 VDDRQ 465/465 SYS5V 2009/1901
RAM 4372/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@2187,0%@2187,0%@2187,100%@2187,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 29% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C CPU@26.5C thermal@25.3C Tboard@27C GPU 464/533 CPU 1394/1316 SOC 1239/1182 CV 0/0 VDDRQ 465/465 SYS5V 2009/1904
RAM 4372/31921MB (lfb 3279x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@2188,50%@2188,0%@2187,100%@2187,off,off,off,off] EMC_FREQ 1%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 43% AO@25.5C GPU@25C Tdiode@27C PMIC@50C AUX@25C CPU@26.5C thermal@25.3C Tboard@27C GPU 464/532 CPU 1549/1322 SOC 1239/1183 CV 0/0 VDDRQ 465/465 SYS5V 2009/1907
