RAM 4145/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [60%@2187,33%@2188,60%@2188,100%@2188,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 8%@420 APE 150 MTS fg 3% bg 54% AO@25C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@25.5C thermal@24.45C Tboard@26C GPU 619/575 CPU 2631/1642 SOC 1238/1172 CV 0/0 VDDRQ 464/464 SYS5V 2049/1921
RAM 4145/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@2187,80%@2187,0%@2187,50%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 45% AO@24.5C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@26C thermal@24.45C Tboard@26C GPU 619/576 CPU 2786/1681 SOC 1238/1174 CV 0/0 VDDRQ 464/464 SYS5V 2049/1925
RAM 4145/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [66%@2187,100%@2187,0%@2187,0%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 27% AO@24.5C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@26C thermal@24.45C Tboard@26C GPU 619/577 CPU 2786/1718 SOC 1238/1176 CV 0/0 VDDRQ 464/464 SYS5V 2049/1930
RAM 4145/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@2187,100%@2187,60%@2186,0%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 24% AO@24.5C GPU@24C Tdiode@25.75C PMIC@50C AUX@24C CPU@26C thermal@24.45C Tboard@26C GPU 619/579 CPU 2786/1753 SOC 1238/1178 CV 0/0 VDDRQ 464/464 SYS5V 2049/1933
RAM 4145/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@2188,100%@2187,0%@2187,33%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 61% AO@24.5C GPU@24C Tdiode@25.75C PMIC@50C AUX@24C CPU@26C thermal@24.45C Tboard@26C GPU 619/580 CPU 2786/1785 SOC 1238/1180 CV 0/0 VDDRQ 464/464 SYS5V 2049/1937
RAM 4145/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@2187,66%@2187,66%@2187,50%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 13%@420 APE 150 MTS fg 0% bg 67% AO@24.5C GPU@24C Tdiode@25.75C PMIC@50C AUX@24C CPU@26C thermal@24.45C Tboard@26C GPU 619/581 CPU 2940/1820 SOC 1238/1182 CV 0/0 VDDRQ 464/464 SYS5V 2089/1942
RAM 4146/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@2187,0%@2188,100%@2188,0%@2188,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 14%@420 APE 150 MTS fg 0% bg 8% AO@24.5C GPU@24.5C Tdiode@25.75C PMIC@50C AUX@24C CPU@25.5C thermal@24.45C Tboard@26C GPU 619/582 CPU 2940/1853 SOC 1238/1184 CV 0/0 VDDRQ 464/464 SYS5V 2089/1946
RAM 4145/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@2187,33%@2187,100%@2187,0%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 2%@420 APE 150 MTS fg 0% bg 52% AO@24.5C GPU@24C Tdiode@25.75C PMIC@50C AUX@24C CPU@26C thermal@24.45C Tboard@26C GPU 619/583 CPU 2940/1884 SOC 1238/1185 CV 0/0 VDDRQ 619/468 SYS5V 2089/1950
RAM 4145/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@2187,0%@2188,100%@2187,33%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 6%@420 APE 150 MTS fg 0% bg 69% AO@24.5C GPU@24C Tdiode@25.75C PMIC@50C AUX@24C CPU@26C thermal@24.45C Tboard@26C GPU 619/584 CPU 3095/1918 SOC 1238/1187 CV 0/0 VDDRQ 619/473 SYS5V 2089/1954
RAM 4145/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [66%@2188,33%@2187,50%@2187,33%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 11%@420 APE 150 MTS fg 1% bg 8% AO@24.5C GPU@24.5C Tdiode@25.75C PMIC@50C AUX@24C CPU@26C thermal@24.45C Tboard@26C GPU 619/585 CPU 3095/1949 SOC 1392/1192 CV 0/0 VDDRQ 619/477 SYS5V 2089/1957
RAM 4146/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [100%@2187,0%@2187,0%@2187,0%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 20%@420 APE 150 MTS fg 0% bg 0% AO@25C GPU@24C Tdiode@25.75C PMIC@50C AUX@24C CPU@25.5C thermal@24.45C Tboard@26C GPU 464/582 CPU 3095/1979 SOC 1392/1197 CV 0/0 VDDRQ 619/480 SYS5V 2089/1961
RAM 4145/31921MB (lfb 3320x4MB) SWAP 0/15960MB (cached 0MB) CPU [75%@2187,33%@2187,25%@2187,25%@2187,off,off,off,off] EMC_FREQ 3%@1065 GR3D_FREQ 0%@420 APE 150 MTS fg 0% bg 31% AO@25C GPU@24.5C Tdiode@25.75C PMIC@50C AUX@24C CPU@25.5C thermal@24.45C Tboard@26C GPU 464/579 CPU 2940/2004 SOC 1392/1202 CV 0/0 VDDRQ 619/484 SYS5V 2089/1964
