RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@25C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@25C GPU 465/510 CPU 930/1181 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1808/1856
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 2% AO@24.5C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@25C GPU 465/508 CPU 930/1171 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1768/1853
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 3% AO@25C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@25C GPU 465/506 CPU 930/1161 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1768/1849
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [25%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 6% AO@24.5C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@24.5C thermal@24.3C Tboard@25C GPU 465/505 CPU 930/1153 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1768/1846
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,75%@1190,50%@1190,40%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 2% bg 13% AO@24.5C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@25C GPU 465/503 CPU 775/1139 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1808/1845
RAM 4359/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [75%@2187,66%@2187,50%@2187,75%@2187,off,off,off,off] EMC_FREQ 2%@1331 GR3D_FREQ 0%@318 APE 150 MTS fg 2% bg 7% AO@24.5C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@25C GPU 465/502 CPU 1085/1137 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1808/1844
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [25%@1804,0%@1804,20%@1804,0%@1804,off,off,off,off] EMC_FREQ 3%@800 GR3D_FREQ 17%@318 APE 150 MTS fg 0% bg 1% AO@24.5C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@25C GPU 465/501 CPU 1085/1136 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1848/1844
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1270,33%@1266,25%@1265,0%@1265,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 4%@318 APE 150 MTS fg 0% bg 14% AO@24.5C GPU@24C Tdiode@26.25C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@26C GPU 465/499 CPU 1085/1134 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1848/1844
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [25%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 3%@318 APE 150 MTS fg 0% bg 3% AO@25C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@26C GPU 465/498 CPU 1085/1132 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1808/1843
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,33%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 5% AO@25C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@26C GPU 465/497 CPU 930/1126 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1808/1842
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 8% AO@24.5C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@24.5C thermal@24.3C Tboard@26C GPU 465/496 CPU 930/1121 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1808/1841
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 5% AO@24.5C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@24.5C thermal@24.3C Tboard@26C GPU 465/495 CPU 930/1115 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1808/1840
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,50%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 5% AO@24.5C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@25C thermal@24.3C Tboard@26C GPU 465/495 CPU 930/1110 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1768/1838
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 7% AO@24.5C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@24.5C thermal@24.3C Tboard@26C GPU 465/494 CPU 930/1105 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1768/1836
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 2% AO@24.5C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@24.5C thermal@24.3C Tboard@26C GPU 465/493 CPU 930/1100 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1768/1834
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [0%@1190,33%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@24.5C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@24.5C thermal@24.3C Tboard@26C GPU 465/492 CPU 930/1096 SOC 1085/1084 CV 0/0 VDDRQ 465/465 SYS5V 1768/1832
RAM 4358/31921MB (lfb 3311x4MB) SWAP 0/15960MB (cached 0MB) CPU [33%@1190,0%@1190,0%@1190,0%@1190,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@24.5C GPU@24C Tdiode@26C PMIC@50C AUX@24C CPU@24.5C thermal@24.3C Tboard@25C GPU 465/492 CPU 775/1088 SOC 930/1080 CV 0/0 VDDRQ 465/465 SYS5V 1768/1831
