Poles_Re, Poles_Im, Residues_Re, Residues_Im
-452,38187,1962.3,23.227
-440.28,15560,546.82,15.472
-517.78,17189,1627.9,49.039
-568.5,9251.4,383.38,23.559
-467.34,6142,307.57,23.403
-517.29,6101.3,351.14,29.771
-432.45,12107,321.38,11.479
-438.92,8753.7,666.08,33.398
-552.27,5497.2,292.89,29.425
-430.02,7527.9,546.65,31.227
-453.18,18681,300.19,7.2823
-537.9,19230,387.49,10.839
-403.02,49173,1342.3,11.001
-406.44,24054,2008.6,33.939
-457.51,60026,3708.3,28.264
-467.32,25876,2204.8,39.818
-472.44,11505,514.77,21.138
-561.44,12866,1585.5,69.188
-407.2,25501,3272.5,52.255
-471.68,10171,325.89,15.113
-527.66,10542,588.09,29.436
-428.6,7042.3,329.12,20.031
-571.55,18286,521.07,16.287
-529.11,8227.3,523.47,33.665
-423.06,7584.4,495.87,27.659
-441.62,7645.4,499.7,28.864
-549.1,5832.5,307.5,28.949
-480.68,11827,578.34,23.504
-496.89,7618.4,274.89,17.929
-577.49,44748,2934,37.865
-427.49,10963,318.4,12.416
-592.87,12304,1476.2,71.127
-408.53,11055,392.1,14.49
-419.89,21398,4177.4,81.973
-444.65,7033.9,445.08,28.136
-561.32,22587,4728.8,117.52
-491.17,11486,262.16,11.21
-530.65,5543.5,274.69,26.294
-434.86,6891.4,310.11,19.569
-433.34,10417,271.88,11.31
-504.17,18739,1327.8,35.725
-548.06,24884,1251,27.552
-492.49,15223,1095.3,35.434
-573.92,17334,389.79,12.906
-532.08,11503,274.57,12.7
-449.82,10303,252.41,11.02
-446.98,6969.3,344.56,22.098
-474.81,7493.1,335.48,21.258
-551.32,5549.4,273.57,27.179
-587.59,14322,580.28,23.806
-572.38,11572,869.99,43.033
-452.32,37513,1164.1,14.036
-482.46,16815,1529.2,43.875
-522.31,5889.3,304.14,26.974
-509.37,11564,1319.6,58.126
-477.85,37392,830.34,10.611
-420.28,10191,301.88,12.45
-542.45,16600,724.52,23.676
-417.63,16340,254.25,6.4981
-573.22,37164,824.25,12.713
-572.69,9312,448.86,27.605
-541.69,27727,716.86,14.005
-497.28,9307.6,273.15,14.594
-539.83,9752.9,627.78,34.748
-479,12798,541.23,20.256
-559.5,12322,465.83,21.152
-557.28,6567.1,265.41,22.523
-431.11,27658,3148.6,49.077
-463.56,6888.7,341.98,23.013
-468.8,7298.9,278.87,17.912
-472.83,22476,3292.8,69.273
-513.33,10884,457.92,21.598
-408.34,14670,695.04,19.346
-531.99,12772,288.51,12.017
-440.33,6753,430.6,28.077
-483.29,6576.8,354.25,26.032
-490.18,7421.4,520.6,34.386
-469.75,13065,386.46,13.895
-476.66,9042.3,767.83,40.476
-436.06,21260,4245.8,87.085
-413.63,11435,418.12,15.125
-510.25,15239,722.81,24.202
-519.17,8955.2,461.76,26.77
-429.1,10953,271.57,10.639
-446.19,10801,549.27,22.69
-457.28,19693,877.11,20.367
-566.15,8063.7,620.76,43.584
-430.68,7162.7,267.3,16.073
-510.43,5222.9,265.95,25.991
-513.63,6633.9,293.39,22.716
-468.68,7267.1,270.51,17.446
-470.12,9826.3,938.07,44.88
-591.82,31769,1878.2,34.989
-510.67,12008,940.05,39.976
-530.55,10264,717.04,37.063
-498.15,15816,1157.3,36.448
-529.33,19356,398.89,10.908
-521.05,10425,564.45,28.212
-429.03,7834.7,302.83,16.583
-466.94,11634,1106.8,44.422
-492.09,10884,348.78,15.769
-425.56,14585,898.19,26.207
-472.61,12276,419.81,16.162
-445.63,9650.1,655.24,30.258
-569.5,15560,2401.2,87.882
-468.29,20678,935.02,21.175
-445.36,6634.6,367.16,24.646
-481.64,13319,478.57,17.306
-536.61,20924,460.35,11.806
-413.12,25224,1157.5,18.958
-436.15,6693.1,422.17,27.51
-538.86,5268.5,250.77,25.649
-550.45,9637.6,302.67,17.287
-523.55,6521,406.73,32.656
-575.84,5431.9,255.84,27.121
-433.76,7706.4,275.79,15.523
-540.71,9043.1,405.96,24.273
-583.45,21837,3093.9,82.665
-430.15,29986,1799.9,25.819
-448.75,59008,2230.1,16.96
-509.34,13129,521.76,20.241
-468.82,30828,614.76,9.3491
-538.13,6063.8,255.99,22.718
-411.51,14411,1192.8,34.062
-432.15,8484.7,256.63,13.071
-543.25,6345.2,320.88,27.472
-594.12,12604,300.11,14.147
-585.91,11642,384.03,19.328
-580.21,10535,364.81,20.092
-425.55,14501,496.98,14.584
-429.19,54737,4001.3,31.374
-414.45,8593.4,648.75,31.289
-508.51,18997,483.12,12.932
-576.5,6908.7,336.21,28.055
-506.36,17518,504.85,14.593
-556.34,29279,515.96,9.8039
-437.69,15443,1382.9,39.195
-572.62,21309,4142.9,111.33
-437.48,6100.8,324.52,23.271
-410.95,13782,706.3,21.061
-484.3,18291,253.76,6.7192
-511.02,10894,964.42,45.239
-594.15,9060.2,672.45,44.098
-418.35,7210.2,456.45,26.484
-454.78,6876.5,325.88,21.552
-421.02,7884,509.51,27.209
-478.09,12809,1483,55.351
-457.8,12230,720.72,26.977
-502.66,9010.7,472.33,26.349
-469.65,8247.4,362.24,20.628
-585.65,6698.6,319.84,27.963
-557.99,14336,1438.3,55.981
-572.2,25291,3483.4,78.81
-425.9,7403.3,460.3,26.48
-515.01,7565.8,305.07,20.766
-442.96,21994,4034,81.245
-573.65,10672,362.93,19.509
-403,12725,355.89,11.271
-421.15,7335,524.35,30.106
-475.21,5984.2,272.02,21.601
-480.42,11269,377.56,16.097
-455.44,27476,4547.3,75.376
-419.21,7141.4,490,28.764
-423.75,15085,288.57,8.1062
-463.59,15171,298.02,9.1065
-590.16,7642.7,374.98,28.956
-441.48,11723,362.31,13.645
-549.46,7305.2,416.96,31.361
-451.64,11677,805.38,31.149
-407.45,7917.3,429.18,22.087
-403.21,15433,363.3,9.4915
-430.54,22345,649.67,12.518
-492.42,6689.4,289.67,21.324
-551.18,15543,1062.5,37.678
-545.76,15724,328.97,11.418
-470.48,13814,768.94,26.189
-495.83,6782.4,318.43,23.279
-562.81,15419,547.82,19.996
-567.68,5799,305.88,29.943
-463.98,8235.1,647.91,36.504
-400.85,10119,988.11,39.143
