x,,y_real_alpha0.05,y_imag_alpha0.05,y_real_alpha0.1,y_imag_alpha0.1,y_real_alpha0.15,y_imag_alpha0.15,y_real_alpha0.2,y_imag_alpha0.2,y_real_alpha0.25,y_imag_alpha0.25
0.5,0,10.223,-2.479,5.4341,-2.4181,3.9571,-2.3239,3.2858,-2.2049,2.9176,-2.0706
0.505,0,10.12,-3.4474,5.4139,-2.6475,3.9428,-2.4173,3.2716,-2.2527,2.9031,-2.0989
0.51,0,9.8302,-4.359,5.3693,-2.8735,3.9213,-2.5103,3.2545,-2.3005,2.8872,-2.1272
0.515,0,9.3853,-5.1673,5.3014,-3.0926,3.8929,-2.602,3.2347,-2.3479,2.8701,-2.1554
0.52,0,8.8279,-5.8428,5.2119,-3.3016,3.8578,-2.6919,3.2121,-2.3948,2.8516,-2.1834
0.525,0,8.2035,-6.3743,5.1031,-3.4978,3.8163,-2.7791,3.1869,-2.441,2.8319,-2.2111
0.53,0,7.5529,-6.7662,4.9776,-3.679,3.7688,-2.8632,3.1591,-2.4862,2.8109,-2.2384
0.535,0,6.9079,-7.0329,4.8382,-3.8437,3.7157,-2.9437,3.1288,-2.5302,2.7887,-2.2652
0.54,0,6.2906,-7.1938,4.6877,-3.991,3.6575,-3.02,3.0961,-2.5729,2.7653,-2.2915
0.545,0,5.7146,-7.2693,4.5291,-4.1203,3.5948,-3.0919,3.0613,-2.614,2.7409,-2.3172
0.55,0,5.1866,-7.2784,4.3649,-4.2319,3.5282,-3.159,3.0244,-2.6536,2.7153,-2.3421
0.555,0,4.7083,-7.2375,4.1977,-4.3262,3.4582,-3.2211,2.9856,-2.6914,2.6887,-2.3663
0.56,0,4.2787,-7.1603,4.0296,-4.404,3.3853,-3.278,2.9451,-2.7273,2.6612,-2.3897
0.565,0,3.8949,-7.0573,3.8624,-4.4662,3.3101,-3.3298,2.9031,-2.7612,2.6327,-2.4122
0.57,0,3.5529,-6.937,3.6976,-4.5142,3.2333,-3.3764,2.8597,-2.7931,2.6035,-2.4337
0.575,0,3.2486,-6.8056,3.5365,-4.5492,3.1551,-3.4179,2.815,-2.8229,2.5734,-2.4543
0.58,0,2.9779,-6.6678,3.38,-4.5724,3.0762,-3.4543,2.7694,-2.8506,2.5427,-2.474
0.585,0,2.7369,-6.527,3.2288,-4.5852,2.9969,-3.4859,2.7229,-2.8761,2.5113,-2.4926
0.59,0,2.5221,-6.3859,3.0834,-4.5887,2.9177,-3.5128,2.6758,-2.8996,2.4794,-2.5101
0.595,0,2.3302,-6.246,2.9442,-4.5841,2.8388,-3.5352,2.6281,-2.9208,2.4469,-2.5266
0.6,0,2.1585,-6.1088,2.8113,-4.5724,2.7607,-3.5533,2.58,-2.94,2.4141,-2.542
0.605,0,2.0045,-5.9749,2.6847,-4.5548,2.6835,-3.5675,2.5317,-2.9571,2.3809,-2.5563
0.61,0,1.8661,-5.8451,2.5644,-4.532,2.6075,-3.5778,2.4833,-2.9722,2.3474,-2.5696
0.615,0,1.7412,-5.7195,2.4503,-4.5048,2.5329,-3.5847,2.435,-2.9853,2.3137,-2.5817
0.62,0,1.6284,-5.5983,2.3423,-4.4739,2.4599,-3.5883,2.3867,-2.9965,2.2798,-2.5928
0.625,0,1.5262,-5.4817,2.24,-4.44,2.3885,-3.5889,2.3388,-3.0058,2.2458,-2.6028
0.63,0,1.4334,-5.3695,2.1433,-4.4037,2.3189,-3.5867,2.2912,-3.0134,2.2118,-2.6118
0.635,0,1.3489,-5.2617,2.052,-4.3653,2.2512,-3.582,2.244,-3.0192,2.1778,-2.6198
0.64,0,1.2718,-5.1582,1.9657,-4.3254,2.1853,-3.575,2.1973,-3.0235,2.1439,-2.6267
0.645,0,1.2012,-5.0588,1.8842,-4.2842,2.1214,-3.5659,2.1513,-3.0262,2.11,-2.6327
0.65,0,1.1365,-4.9634,1.8072,-4.2421,2.0595,-3.5549,2.1058,-3.0274,2.0763,-2.6377
0.655,0,1.0771,-4.8717,1.7345,-4.1994,1.9995,-3.5421,2.0611,-3.0273,2.0428,-2.6418
0.66,0,1.0224,-4.7837,1.6658,-4.1562,1.9415,-3.5279,2.0171,-3.0258,2.0095,-2.645
0.665,0,0.97186,-4.6991,1.6009,-4.1128,1.8854,-3.5123,1.9739,-3.0231,1.9765,-2.6473
0.67,0,0.92517,-4.6178,1.5395,-4.0694,1.8312,-3.4954,1.9314,-3.0193,1.9438,-2.6488
0.675,0,0.88193,-4.5397,1.4815,-4.026,1.7789,-3.4775,1.8899,-3.0144,1.9114,-2.6495
0.68,0,0.8418,-4.4644,1.4266,-3.9828,1.7285,-3.4587,1.8491,-3.0085,1.8794,-2.6494
0.685,0,0.8045,-4.392,1.3746,-3.9399,1.6798,-3.439,1.8092,-3.0016,1.8477,-2.6485
0.69,0,0.76976,-4.3223,1.3254,-3.8974,1.6328,-3.4186,1.7703,-2.9939,1.8165,-2.647
0.695,0,0.73736,-4.255,1.2787,-3.8554,1.5876,-3.3976,1.7322,-2.9854,1.7856,-2.6448
0.7,0,0.70709,-4.1902,1.2345,-3.8138,1.544,-3.3761,1.6949,-2.9762,1.7552,-2.6419
0.705,0,0.67877,-4.1276,1.1925,-3.7728,1.5019,-3.3541,1.6586,-2.9662,1.7252,-2.6384
0.71,0,0.65222,-4.0672,1.1526,-3.7323,1.4614,-3.3318,1.6231,-2.9557,1.6957,-2.6344
0.715,0,0.62732,-4.0089,1.1148,-3.6925,1.4224,-3.3092,1.5885,-2.9445,1.6667,-2.6298
0.72,0,0.60392,-3.9525,1.0788,-3.6533,1.3848,-3.2863,1.5548,-2.9329,1.6381,-2.6247
0.725,0,0.58189,-3.8979,1.0445,-3.6147,1.3485,-3.2633,1.5219,-2.9207,1.61,-2.619
0.73,0,0.56115,-3.8451,1.0119,-3.5768,1.3136,-3.2401,1.4899,-2.9081,1.5824,-2.613
0.735,0,0.54158,-3.794,0.98089,-3.5395,1.28,-3.2169,1.4587,-2.8952,1.5553,-2.6065
0.74,0,0.5231,-3.7445,0.95129,-3.5029,1.2475,-3.1936,1.4283,-2.8819,1.5287,-2.5996
0.745,0,0.50562,-3.6964,0.92306,-3.4669,1.2162,-3.1702,1.3988,-2.8682,1.5026,-2.5923
0.75,0,0.48909,-3.6499,0.89612,-3.4316,1.1861,-3.147,1.37,-2.8543,1.4769,-2.5846
0.755,0,0.47341,-3.6047,0.8704,-3.397,1.157,-3.1237,1.3419,-2.8402,1.4518,-2.5766
0.76,0,0.45855,-3.5608,0.84581,-3.363,1.1289,-3.1006,1.3146,-2.8258,1.4271,-2.5683
0.765,0,0.44443,-3.5182,0.8223,-3.3296,1.1019,-3.0775,1.2881,-2.8113,1.4029,-2.5598
0.77,0,0.43102,-3.4768,0.79981,-3.2969,1.0758,-3.0546,1.2622,-2.7965,1.3792,-2.5509
0.775,0,0.41826,-3.4365,0.77828,-3.2648,1.0506,-3.0318,1.2371,-2.7817,1.356,-2.5418
0.78,0,0.40611,-3.3974,0.75765,-3.2333,1.0262,-3.0092,1.2126,-2.7667,1.3333,-2.5325
0.785,0,0.39453,-3.3593,0.73788,-3.2024,1.0027,-2.9867,1.1888,-2.7516,1.311,-2.523
0.79,0,0.38348,-3.3222,0.71892,-3.1721,0.98002,-2.9644,1.1656,-2.7365,1.2892,-2.5132
0.795,0,0.37294,-3.286,0.70073,-3.1423,0.95808,-2.9423,1.1431,-2.7213,1.2678,-2.5034
0.8,0,0.36286,-3.2508,0.68326,-3.1131,0.93688,-2.9204,1.1212,-2.706,1.2469,-2.4933
0.805,0,0.35323,-3.2165,0.66648,-3.0845,0.91638,-2.8988,1.0998,-2.6908,1.2264,-2.4831
0.81,0,0.34402,-3.183,0.65035,-3.0564,0.89656,-2.8773,1.079,-2.6755,1.2063,-2.4728
0.815,0,0.33519,-3.1504,0.63484,-3.0288,0.87739,-2.856,1.0588,-2.6602,1.1867,-2.4623
0.82,0,0.32673,-3.1185,0.61991,-3.0018,0.85883,-2.835,1.0391,-2.6449,1.1675,-2.4518
0.825,0,0.31863,-3.0874,0.60555,-2.9752,0.84088,-2.8142,1.0199,-2.6297,1.1487,-2.4411
0.83,0,0.31085,-3.057,0.59171,-2.9491,0.82349,-2.7936,1.0013,-2.6145,1.1303,-2.4304
0.835,0,0.30338,-3.0273,0.57838,-2.9235,0.80666,-2.7733,0.98309,-2.5993,1.1122,-2.4196
0.84,0,0.2962,-2.9983,0.56552,-2.8984,0.79035,-2.7532,0.96539,-2.5842,1.0946,-2.4087
0.845,0,0.2893,-2.97,0.55313,-2.8737,0.77455,-2.7333,0.94816,-2.5691,1.0773,-2.3978
0.85,0,0.28266,-2.9423,0.54116,-2.8495,0.75923,-2.7137,0.93137,-2.5541,1.0605,-2.3868
0.855,0,0.27628,-2.9152,0.52961,-2.8257,0.74438,-2.6943,0.91502,-2.5392,1.0439,-2.3758
0.86,0,0.27013,-2.8886,0.51846,-2.8023,0.72998,-2.6751,0.89909,-2.5243,1.0278,-2.3648
0.865,0,0.2642,-2.8627,0.50768,-2.7794,0.71601,-2.6562,0.88356,-2.5095,1.0119,-2.3538
0.87,0,0.25848,-2.8372,0.49726,-2.7568,0.70246,-2.6375,0.86843,-2.4949,0.99643,-2.3427
0.875,0,0.25297,-2.8123,0.48719,-2.7347,0.6893,-2.619,0.85368,-2.4803,0.98127,-2.3317
0.88,0,0.24765,-2.7879,0.47744,-2.7129,0.67652,-2.6008,0.83931,-2.4658,0.96643,-2.3206
0.885,0,0.24252,-2.764,0.468,-2.6915,0.66412,-2.5828,0.82529,-2.4514,0.9519,-2.3096
0.89,0,0.23755,-2.7406,0.45887,-2.6704,0.65206,-2.565,0.81163,-2.4371,0.93768,-2.2985
0.895,0,0.23276,-2.7177,0.45002,-2.6497,0.64035,-2.5474,0.7983,-2.4229,0.92376,-2.2875
0.9,0,0.22812,-2.6951,0.44145,-2.6294,0.62897,-2.5301,0.78529,-2.4088,0.91014,-2.2765
0.905,0,0.22364,-2.6731,0.43314,-2.6093,0.6179,-2.5129,0.77261,-2.3948,0.89679,-2.2655
0.91,0,0.2193,-2.6514,0.42508,-2.5897,0.60714,-2.496,0.76023,-2.381,0.88373,-2.2546
0.915,0,0.2151,-2.6301,0.41727,-2.5703,0.59668,-2.4793,0.74816,-2.3672,0.87094,-2.2437
0.92,0,0.21103,-2.6093,0.40968,-2.5512,0.58649,-2.4628,0.73637,-2.3536,0.85842,-2.2328
0.925,0,0.20708,-2.5888,0.40232,-2.5325,0.57658,-2.4466,0.72486,-2.3401,0.84615,-2.2219
0.93,0,0.20326,-2.5687,0.39517,-2.5141,0.56693,-2.4305,0.71362,-2.3267,0.83414,-2.2111
0.935,0,0.19955,-2.5489,0.38823,-2.4959,0.55754,-2.4146,0.70265,-2.3134,0.82238,-2.2004
0.94,0,0.19595,-2.5295,0.38148,-2.478,0.54839,-2.399,0.69194,-2.3002,0.81085,-2.1897
