x,y_ref_real,y_ref_imag,y_ref_abs
4872.5,2.4418e-09,-2.9844e-10,2.4599e-09
4875,2.0136e-09,-6.2765e-10,2.1092e-09
4877.5,1.5376e-09,-8.6087e-10,1.7622e-09
4880,1.0389e-09,-9.8299e-10,1.4303e-09
4882.5,5.5019e-10,-9.889e-10,1.1317e-09
4885,1.0544e-10,-8.8675e-10,8.93e-10
4887.5,-2.6632e-10,-6.9755e-10,7.4667e-10
4890,-5.4643e-10,-4.5143e-10,7.0878e-10
4892.5,-7.2903e-10,-1.8196e-10,7.5139e-10
4895,-8.2065e-10,7.9381e-11,8.2448e-10
4897.5,-8.3751e-10,3.077e-10,8.9225e-10
4900,-8.0153e-10,4.8726e-10,9.3801e-10
4902.5,-7.3586e-10,6.1202e-10,9.5711e-10
4905,-6.6119e-10,6.8411e-10,9.5141e-10
4907.5,-5.9334e-10,7.1113e-10,9.2616e-10
4910,-5.4277e-10,7.0318e-10,8.8829e-10
4912.5,-5.1529e-10,6.7045e-10,8.4559e-10
4915,-5.1351e-10,6.2197e-10,8.0657e-10
4917.5,-5.3827e-10,5.6525e-10,7.8054e-10
4920,-5.8968e-10,5.0656e-10,7.7738e-10
4922.5,-6.6766e-10,4.5158e-10,8.0604e-10
4925,-7.7201e-10,4.0619e-10,8.7235e-10
4927.5,-9.019e-10,3.7688e-10,9.7747e-10
4930,-1.0551e-09,3.7098e-10,1.1184e-09
4932.5,-1.2269e-09,3.961e-10,1.2893e-09
4935,-1.4099e-09,4.5892e-10,1.4827e-09
4937.5,-1.594e-09,5.6366e-10,1.6908e-09
4940,-1.7679e-09,7.1069e-10,1.9054e-09
4942.5,-1.9209e-09,8.9629e-10,2.1197e-09
4945,-2.0453e-09,1.1138e-09,2.3289e-09
4947.5,-2.1366e-09,1.3557e-09,2.5305e-09
4950,-2.1933e-09,1.6154e-09,2.724e-09
4952.5,-2.2146e-09,1.8882e-09,2.9103e-09
4955,-2.1995e-09,2.1706e-09,3.0902e-09
4957.5,-2.1455e-09,2.4597e-09,3.2639e-09
4960,-2.0488e-09,2.7509e-09,3.43e-09
4962.5,-1.9055e-09,3.0375e-09,3.5857e-09
4965,-1.7129e-09,3.3097e-09,3.7267e-09
4967.5,-1.4712e-09,3.5555e-09,3.8479e-09
4970,-1.1855e-09,3.762e-09,3.9444e-09
4972.5,-8.6558e-10,3.918e-09,4.0124e-09
4975,-5.2501e-10,4.0158e-09,4.05e-09
4977.5,-1.7904e-10,4.0535e-09,4.0575e-09
4980,1.5818e-10,4.034e-09,4.0371e-09
4982.5,4.7531e-10,3.9637e-09,3.9921e-09
4985,7.6425e-10,3.8507e-09,3.9258e-09
4987.5,1.0195e-09,3.7033e-09,3.8411e-09
4990,1.2375e-09,3.5299e-09,3.7405e-09
4992.5,1.4159e-09,3.3387e-09,3.6266e-09
4995,1.5541e-09,3.1383e-09,3.502e-09
4997.5,1.6532e-09,2.9367e-09,3.3701e-09
5000,1.7162e-09,2.7414e-09,3.2343e-09
