x,y_ref_abs,AAA,Error_AAA,VF,Error_VF,Szego,Error_Szego,Adap,Error_Adap
19090,83.628,83.626,0.008209,83.686,0.1426,83.624,0.034321,83.628,0.0013001
19120,83.417,83.418,0.0060033,83.447,0.11868,83.422,0.026015,83.417,0.0010376
19150,83.207,83.208,0.0032989,83.214,0.092773,83.214,0.014816,83.207,0.00061968
19180,82.987,82.987,0.00036213,82.978,0.065524,82.988,0.0016847,82.987,7.3572e-05
19210,82.75,82.748,0.0025322,82.732,0.038157,82.739,0.01219,82.75,0.00055333
19240,82.488,82.484,0.0051255,82.471,0.017559,82.463,0.0255,82.489,0.0011975
19270,82.199,82.193,0.0071961,82.191,0.030789,82.163,0.036933,82.201,0.0017863
19300,81.883,81.874,0.0085739,81.891,0.057804,81.84,0.045306,81.885,0.0022473
19330,81.541,81.532,0.0091505,81.573,0.085532,81.502,0.049674,81.543,0.0025173
19360,81.18,81.172,0.0088845,81.242,0.11208,81.152,0.049439,81.181,0.002551
19390,80.81,80.804,0.007804,80.903,0.13656,80.796,0.04442,80.81,0.002327
19420,80.441,80.437,0.0060047,80.567,0.15828,80.44,0.034888,80.44,0.0018513
19450,80.085,80.084,0.0036428,80.241,0.17668,80.091,0.021564,80.085,0.001157
19480,79.756,79.756,0.00092488,79.937,0.19131,79.759,0.0055684,79.756,0.00030163
19510,79.466,79.466,0.0019089,79.665,0.20185,79.458,0.011671,79.467,0.00063763
19540,79.227,79.226,0.0046038,79.436,0.20817,79.201,0.028539,79.229,0.0015717
19570,79.049,79.046,0.0069118,79.258,0.2103,79.006,0.043389,79.052,0.0024076
19600,78.94,78.934,0.0086141,79.141,0.20846,78.886,0.054695,78.942,0.0030576
19630,78.905,78.897,0.009541,79.091,0.203,78.851,0.061208,78.907,0.0034477
19660,78.949,78.94,0.0095892,79.113,0.1944,78.905,0.062091,78.95,0.0035251
19690,79.071,79.063,0.0087324,79.212,0.18317,79.045,0.057016,79.071,0.0032642
19720,79.273,79.266,0.0070264,79.387,0.16981,79.264,0.046217,79.272,0.0026698
19750,79.55,79.546,0.0046061,79.637,0.15474,79.553,0.030494,79.549,0.0017785
19780,79.899,79.897,0.0016756,79.961,0.13826,79.903,0.011155,79.898,0.00065722
19810,80.313,80.314,0.0015078,80.352,0.12058,80.307,0.010087,80.314,0.00060057
19840,80.787,80.788,0.0046542,80.804,0.10179,80.76,0.031267,80.789,0.0018816
19870,81.311,81.312,0.0074656,81.31,0.081997,81.262,0.050344,81.314,0.0030614
19900,81.877,81.875,0.0096619,81.863,0.061488,81.811,0.065394,81.88,0.0040156
19930,82.475,82.471,0.011007,82.453,0.041262,82.405,0.074798,82.478,0.0046326
19960,83.099,83.091,0.011337,83.074,0.025636,83.036,0.077409,83.1,0.0048271
19990,83.74,83.731,0.010577,83.72,0.027828,83.695,0.072678,83.739,0.0045524
20020,84.392,84.384,0.0087629,84.384,0.045836,84.371,0.060729,84.391,0.00381
20050,85.054,85.048,0.0060461,85.064,0.06757,85.051,0.042381,85.052,0.0026541
20080,85.723,85.72,0.0026841,85.755,0.089285,85.727,0.0191,85.722,0.0011894
20110,86.4,86.401,0.00097992,86.459,0.10966,86.397,0.0071089,86.401,0.0004385
20140,87.089,87.092,0.0045553,87.174,0.12804,87.064,0.033859,87.091,0.0020602
20170,87.793,87.796,0.0076521,87.904,0.14418,87.74,0.058593,87.795,0.0035033
20200,88.515,88.518,0.0099336,88.65,0.15808,88.438,0.078821,88.518,0.0046155
20230,89.262,89.262,0.011164,89.418,0.16996,89.171,0.092365,89.264,0.0052833
20260,90.039,90.035,0.011242,90.212,0.18001,89.95,0.097591,90.039,0.0054453
20290,90.851,90.845,0.010212,91.037,0.18826,90.78,0.093601,90.85,0.0050947
20320,91.705,91.699,0.0082527,91.899,0.19449,91.662,0.080358,91.703,0.0042738
20350,92.607,92.602,0.0056451,92.804,0.19817,92.591,0.05873,92.605,0.0030621
20380,93.564,93.562,0.0027246,93.756,0.19862,93.565,0.030443,93.563,0.0015632
20410,94.58,94.581,0.00017076,94.758,0.19513,94.58,0.0020578,94.581,0.00010465
20440,95.657,95.66,0.0027478,95.812,0.18714,95.637,0.035818,95.659,0.0018142
20470,96.792,96.796,0.0047936,96.918,0.17439,96.739,0.067641,96.795,0.0034302
20500,97.978,97.983,0.0061924,98.07,0.157,97.89,0.094388,97.981,0.004812
20530,99.202,99.207,0.0069217,99.26,0.13549,99.09,0.11327,99.206,0.0058197
20560,100.45,100.45,0.0070267,100.48,0.11077,100.33,0.12213,100.45,0.0063287
